
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.39          1   0.001692   0.002549 4.32E-009 6.506E-009
650           2.402     0.9999  8.085E-005   0.003367 1.467E-005 0.0006107
rg60          2.547       1.06    0.01317      0.517   0.01321    0.5187
633            2.46      1.024    0.01579     0.6417   0.02582     1.049
634          0.2782      1.004   0.002155     0.7747  0.003405     1.224
671           2.419      1.007    0.04636      1.917   0.08199      3.39
645            2.48      1.033          0          0         0         0
646           2.476      1.031          0          0         0         0
692           2.419      1.007    0.04636      1.917   0.08199      3.39
675           2.414      1.005    0.04956      2.053   0.08752     3.625
611           2.342      0.975          0          0         0         0
652           2.358     0.9819          0          0         0         0
670           2.449       1.02    0.02618      1.069    0.0434     1.772
632           2.466      1.027    0.01573     0.6378   0.02468     1.001
680           2.419      1.007    0.04636      1.917   0.08199      3.39
684           2.372     0.9875          0          0         0         0
