Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1732.9999827566567,1732.9999827566567,1732.991861274372
2,2079.4671180427904,2079.4671180427904,2083.1766019992306
3,2079.467118016866,2079.467118016866,2079.5667884940653
4,2079.467118015241,2079.467118015241,2079.5664928491856
5,2079.467118013963,2079.467118013963,2079.56637530867
6,2079.467118012439,2079.467118012439,2079.5663403862904
7,2079.4671180103646,2079.4671180103646,2079.566559091513
8,2079.4671179600814,2079.4671179600814,2079.5738009632296
9,2079.4671180061914,2079.4671180061914,2079.5666125485263
10,2079.4671180044984,2079.4671180044984,2079.5663848111644
