Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,2223.1262258987435,2223.1262258987435,2936.8881624262194
2,2170.7940188828297,2170.7940188828297,2155.8102680562024
3,2079.467117930167,2079.467117930167,2189.6040258101752
4,2079.4671178518597,2079.4671178518597,2189.8837203820895
5,2079.4671177521045,2079.4671177521045,2189.9189831183153
6,2079.4671176044235,2079.4671176044235,2189.991799399326
7,2079.4671153620507,2079.4671153620507,2173.0776170082236
8,2170.794023968903,2170.794023968903,2168.1274811220646
9,2079.4671173127404,2079.4671173127404,2089.2760453794217
10,2170.7940188907696,2170.7940188907696,2170.7935151951656
