Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273780230757,1504.5273780230757,1504.4376071182037
2,1504.5274313352238,1504.5274313352238,1504.4534801679893
3,1504.5275862505703,1504.5275862505703,1504.4421487710354
4,1504.5276058692652,1504.5276058692652,1504.454293877322
5,1504.5282074549232,1504.5282074549232,1504.467673945363
6,1504.527669645913,1504.527669645913,1504.204122945177
7,1504.5324862959758,1504.5324862959758,1504.5928945904534
8,1504.5298167671478,1504.5298167671478,1504.497833233193
9,1504.5289146438565,1504.5289146438565,1504.4466807831923
10,1504.5300024206986,1504.5300024206986,1504.4514722398703
