Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273780230757,1504.5273780230757,1504.4462266196058
2,1504.5274479293505,1504.5274479293505,1504.445484313395
3,1504.52757572524,1504.52757572524,1504.450407950149
4,1504.5275624302656,1504.5275624302656,1504.4523706845987
5,1504.528145388496,1504.528145388496,1504.4418545658723
6,1504.5286879454907,1504.5286879454907,1504.444509702118
7,1504.52937473967,1504.52937473967,1504.4447927600474
8,1504.5294874072883,1504.5294874072883,1504.468723263568
9,1504.5308125344663,1504.5308125344663,1504.4519531810977
10,1504.531843839893,1504.531843839893,1504.459271404765
