Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273780230757,1504.5273780230757,1504.437565110395
2,1504.5274311070098,1504.5274311070098,1504.4523254452129
3,1504.527589442251,1504.527589442251,1504.4435683868944
4,1504.527600901009,1504.527600901009,1504.4378567716947
5,1504.5283096212015,1504.5283096212015,1504.4646951871755
6,1504.5280399586914,1504.5280399586914,1504.3791921936347
7,1504.530007173903,1504.530007173903,1504.528646642236
8,1504.5294867273337,1504.5294867273337,1504.4476032636228
9,1504.530321491171,1504.530321491171,1504.4503964807095
10,1504.5312895132586,1504.5312895132586,1504.450300621678
