Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1622.4859654745421,1622.4859654745421,1622.4859114445594
2,2875.8576375970556,2875.8576375970556,1622.4859114445594
3,2875.8576375970556,2875.8576375970556,1622.4859114445594
4,2875.8576375970556,2875.8576375970556,1622.4859114445594
5,2875.8576375970556,2875.8576375970556,1622.4859114445594
6,2875.8576375970556,2875.8576375970556,1622.4859114445594
7,2875.8576375970556,2875.8576375970556,1622.4859114445594
8,2875.8576375970556,2875.8576375970556,1622.4859114445594
9,2875.8576375970556,2875.8576375970556,1622.4859114445594
10,2875.8576375970556,2875.8576375970556,1622.4859114445594
