Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1622.4859114445594,1622.4859114445594,1622.4859114445594
2,1622.485950030751,1622.485950030751,1622.4859114445594
3,1622.485950030751,1622.485950030751,1622.4859114445594
4,1622.485950030751,1622.485950030751,1622.4859114445594
5,1622.485950030751,1622.485950030751,1622.4859114445594
6,1622.485950030751,1622.485950030751,1622.4859114445594
7,1622.485950030751,1622.485950030751,1622.4859114445594
8,1622.485950030751,1622.485950030751,1622.4859114445594
9,1622.485950030751,1622.485950030751,1622.4859114445594
10,1622.485950030751,1622.485950030751,1622.4859114445594
