Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,2099.0246923183586,2099.0246923183586,-10684.582443715524
2,2226.860792434736,2226.860792434736,2226.8522764806266
3,2226.8692640949844,2226.8692640949844,-22495.462275472106
4,2201.3602785463827,2201.3602785463827,-134553.6826094096
5,1933.6296451730034,1933.6296451730034,1695.7522832410461
6,2190.062935250436,2190.062935250436,2114.008724625369
7,1525.735275405699,1525.735275405699,1525.0730470096455
8,1802.9869286666947,1802.9869286666947,-2513.8290141019256
9,2304.360109219881,2304.360109219881,2304.3461517259107
10,2459.1302767413963,2459.1302767413963,2458.5690907471476
