Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1679.6853838772338,1679.6853838772338,1675.0981403446253
2,1946.1366472821608,1946.1366472821608,4357.794188348535
3,1841.56688829066,1841.56688829066,1841.5471823572548
4,1928.0540970318746,1928.0540970318746,4233.001849055574
5,1841.5425503811518,1841.5425503811518,1841.52757922354
6,1927.8872735871994,1927.8872735871994,4215.567210360727
7,1841.54178741434,1841.54178741434,1841.5206231049385
8,1930.2986288179554,1930.2986288179554,4219.220659063206
9,2011.686070758874,2011.686070758874,2011.663969008935
10,2017.4457904140145,2017.4457904140145,2017.4460047205273
