Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273899273125,1504.5273899273125,1504.5273780230757
2,1504.5273899471786,1504.5273899471786,1504.5273780230757
3,1504.527389972278,1504.527389972278,1504.5273780230757
4,1504.5274169741438,1504.5274169741438,1504.5273780230757
5,1504.5273900502066,1504.5273900502066,1504.5273780230757
6,1504.5273900935358,1504.5273900935358,1504.5273780230757
7,1504.5273901273804,1504.5273901273804,1504.5273780230757
8,1504.5273901660755,1504.5273901660755,1504.5273780230757
9,1504.527390211208,1504.527390211208,1504.5273780230757
10,1504.5273902509987,1504.5273902509987,1504.5273780230757
