Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,2579.985534181906,2579.985534181906,227369.2690134371
2,1679.8291597163875,1679.8291597163875,1679.708061663477
3,1720.9238611037342,1720.9238611037342,1572.5427448768528
4,1691.139030873887,1691.139030873887,1270.232913261644
5,1713.0315503524307,1713.0315503524307,1747.3248110238253
6,1790.7330217824554,1790.7330217824554,61115.95928544413
7,1569.5350130273332,1569.5350130273332,1569.145659842733
8,1839.246880629333,1839.246880629333,8392.128994867002
9,1679.95179485661,1679.95179485661,1679.8140101344056
10,1749.2606030650325,1749.2606030650325,1749.1519396587526
