Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1446.9399771019932,1446.9399771019932,1401.6386911153124
2,1446.9399816542023,1446.9399816542023,1447.1972873590398
3,2099.0246923183586,2099.0246923183586,15171.837851823955
4,1446.9399816542023,1446.9399816542023,1447.1972873590398
5,2099.0246923183586,2099.0246923183586,15171.837851823955
6,1446.9399816542023,1446.9399816542023,1447.1972873590398
7,2099.0246923183586,2099.0246923183586,15171.837851823955
8,1446.9399816542023,1446.9399816542023,1447.1972873590398
9,2099.0246923183586,2099.0246923183586,15171.837851823955
10,1446.9399816542023,1446.9399816542023,1447.1972873590398
