Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273895041655,1504.5273895041655,1504.5273780230757
2,1504.5274153587552,1504.5274153587552,1504.5273780230757
3,1504.527415417356,1504.527415417356,1504.5273780230757
4,1504.52741547867,1504.52741547867,1504.5273780230757
5,1504.527415546663,1504.527415546663,1504.5273780230757
6,1504.5274156156006,1504.5274156156006,1504.5273780230757
7,1504.5274156922421,1504.5274156922421,1504.5273780230757
8,1504.5274157581828,1504.5274157581828,1504.5273780230757
9,1504.5274158277862,1504.5274158277862,1504.5273780230757
10,1504.5274159102999,1504.5274159102999,1504.5273780230757
