Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273903153575,1504.5273903153575,1504.5273780230757
2,2879.4750590149984,2879.4750590149984,1504.5273780230757
3,2879.4750590149984,2879.4750590149984,1504.5273780230757
4,2879.4750590149984,2879.4750590149984,1504.5273780230757
5,2879.4750590149984,2879.4750590149984,1504.5273780230757
6,2879.4750590149984,2879.4750590149984,1504.5273780230757
7,2879.4750590149984,2879.4750590149984,1504.5273780230757
8,2879.4750590149984,2879.4750590149984,1504.5273780230757
9,2879.4750590149984,2879.4750590149984,1504.5273780230757
10,2879.4750590149984,2879.4750590149984,1504.5273780230757
