Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273780230757,1504.5273780230757,1424.2923893810805
2,1677.2457715002113,1677.2457715002113,1807.2887239320426
3,1706.6063966278036,1706.6063966278036,1718.8249289218118
4,1762.6212105403906,1762.6212105403906,1791.8457098675422
5,1886.0083419358461,1886.0083419358461,-175657.464364678
6,1550.6831477248345,1550.6831477248345,1688.7213215362733
7,1761.0249027865486,1761.0249027865486,1780.5512804866742
8,1691.4919621475115,1691.4919621475115,1816.3556574506556
9,1737.2855882523309,1737.2855882523309,2899.9366784482504
10,1669.6331182062336,1669.6331182062336,1874.5318626756518
