Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273896889962,1504.5273896889962,1504.5273780230757
2,1504.5273897002462,1504.5273897002462,1504.5273780230757
3,1504.527416420624,1504.527416420624,1504.5273780230757
4,1504.5274162330743,1504.5274162330743,1504.5273780230757
5,1504.5273892139242,1504.5273892139242,1504.5273780230757
6,1504.5274162992089,1504.5274162992089,1504.5273780230757
7,1504.5273898365094,1504.5273898365094,1504.5273780230757
8,1504.5274164722325,1504.5274164722325,1504.5273780230757
9,1504.5274166432046,1504.5274166432046,1504.5273780230757
10,1504.52738990845,1504.52738990845,1504.5273780230757
