Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1374.7761785644896,1374.7761785644896,1374.7761350633562
2,1374.7761785881187,1374.7761785881187,1374.7761350633562
3,1374.776178697394,1374.776178697394,1374.7761350633562
4,1374.7761829903948,1374.7761829903948,1374.7761350633562
5,1374.7764039499498,1374.7764039499498,1374.7761350633562
6,1374.7883374551332,1374.7883374551332,1374.7761350633562
7,1374.8923069318064,1374.8923069318064,1374.7761350633562
8,1489.506811588472,1489.506811588472,1374.7761350633562
9,1641.4367142998638,1641.4367142998638,1374.7761350633562
10,1614.0129835613357,1614.0129835613357,1374.7761350633562
