Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,2099.2321585137925,2099.2321585137925,1374.7761350633562
2,2041.0103976045218,2041.0103976045218,1374.7761350633562
3,1982.3792803181254,1982.3792803181254,1374.7761350633562
4,1904.9191599277729,1904.9191599277729,1374.7761350633562
5,1788.2558272312287,1788.2558272312287,1374.7761350633562
6,1685.7555789141677,1685.7555789141677,1374.7761350633562
7,1791.5767485150425,1791.5767485150425,1374.7761350633562
8,1813.0395069088186,1813.0395069088186,1374.7761350633562
9,1883.9301478717782,1883.9301478717782,1374.7761350633562
10,2140.1692785389955,2140.1692785389955,1374.7761350633562
