Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1622.4859531563634,1622.4859531563634,1622.4859114445594
2,1622.4859534365908,1622.4859534365908,1622.4859114445594
3,1622.4859537343468,1622.4859537343468,1622.4859114445594
4,1622.4859540509663,1622.4859540509663,1622.4859114445594
5,1622.4859543880673,1622.4859543880673,1622.4859114445594
6,1622.4859547482847,1622.4859547482847,1622.4859114445594
7,1622.4859551331376,1622.4859551331376,1622.4859114445594
8,1622.4859555458024,1622.4859555458024,1622.4859114445594
9,1622.4859559878912,1622.4859559878912,1622.4859114445594
10,1622.485956464997,1622.485956464997,1622.4859114445594
