Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1622.485950030751,1622.485950030751,1622.4859114445594
2,1622.4859501807628,1622.4859501807628,1622.4859114445594
3,1622.4859514141783,1622.4859514141783,1622.4859114445594
4,1622.4859515980083,1622.4859515980083,1622.4859114445594
5,1622.4859517726286,1622.4859517726286,1622.4859114445594
6,1622.4859519740908,1622.4859519740908,1622.4859114445594
7,1622.4859521862138,1622.4859521862138,1622.4859114445594
8,1622.4859513669714,1622.4859513669714,1622.4859114445594
9,1622.4859526406265,1622.4859526406265,1622.4859114445594
10,1622.4859528916213,1622.4859528916213,1622.4859114445594
