Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1622.4859569784194,1622.4859569784194,1622.4859114445594
2,1622.4859575298003,1622.4859575298003,1622.4859114445594
3,1622.4859581309136,1622.4859581309136,1622.4859114445594
4,1622.4859587814753,1622.4859587814753,1622.4859114445594
5,1622.4859594888287,1622.4859594888287,1622.4859114445594
6,1622.485960258567,1622.485960258567,1622.4859114445594
7,1622.4859611036056,1622.4859611036056,1622.4859114445594
8,1622.4859620332452,1622.4859620332452,1622.4859114445594
9,1622.485963059162,1622.485963059162,1622.4859114445594
10,1622.4859641984426,1622.4859641984426,1622.4859114445594
