case,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,relaxed_pshed_final,objective
motivation_a,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1442.8225482471018,2038.8261065673275
motivation_a,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1441.7756305008625,7167.403741875417
motivation_a,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1446.8190842133959,14598.881555467826
motivation_a,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1446.8406630239106,11078.581770504981
motivation_a,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1450.1054630779283,12832.818685948758
motivation_b,proportional,3466.0,1518.1361544222368,1947.8638455777634,43.800812303007405,56.199187696992595,1500.1617568993495,1967.3424645549023
motivation_b,efficiency,3466.0,2338.2978683524243,1127.7021316475757,67.4638738705258,32.5361261294742,1419.9024015125108,7864.2221017183265
motivation_b,min_max,3466.0,1519.1331441647174,1946.866855835283,43.82957715420419,56.17042284579582,1492.4583681443655,10362.405274692197
motivation_b,equality_min,3466.0,1518.3586554907683,1947.6413445092317,43.80723183758708,56.19276816241292,1493.6724330563952,18004.968035530244
motivation_b,jain,3466.0,1518.3586554388835,1947.6413445611165,43.80723183609012,56.192768163909875,1488.2578587744906,18123.56234746665
motivation_c,proportional,3466.0,1622.884002233358,1843.115997766642,46.82296601942752,53.177033980572475,1597.4366327444577,1861.5471393131481
motivation_c,efficiency,3466.0,1627.7812055287347,1838.2187944712655,46.964258670765574,53.03574132923443,1586.3458013791471,12482.149992869345
motivation_c,min_max,3466.0,1632.0516616905807,1833.9483383094191,47.08746860042068,52.91253139957932,1594.8789596314975,9796.59472842627
motivation_c,equality_min,3466.0,2045.6767373982325,1420.3232626017675,59.02125612805056,40.97874387194943,1596.3506719940747,13213.818499080515
motivation_c,jain,3466.0,1622.8876259862434,1843.1123740137568,46.823070570866804,53.1769294291332,1599.48822118457,18172.4876961045
