fair_func,weight_max,step_size,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,weight_spread,objective
proportional,5.0,0.05,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,5.0,0.05,3466.0,1463.8157956027103,2002.1842043972897,42.23357748420976,57.76642251579024,4.000000032605732,4272.243918415311
min_max,5.0,0.05,3466.0,1679.8291654699485,1786.1708345300515,48.465930913731924,51.534069086268076,4.00000003192223,7414.703754947658
equality_min,5.0,0.05,3466.0,1459.922422764001,2006.077577235999,42.1212470503174,57.8787529496826,9.00012505920311,8628.14250815946
jain,5.0,0.05,3466.0,1459.7145542692701,2006.2854457307299,42.11524969040018,57.884750309599816,3.9999928127104862,6564.113606538293
proportional,5.0,0.1,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,5.0,0.1,3466.0,1463.8157955322222,2002.1842044677778,42.23357748217606,57.76642251782395,4.000000032605732,4272.243944049647
min_max,5.0,0.1,3466.0,1679.8291654570871,1786.1708345429126,48.46593091336085,51.53406908663914,4.00000003192223,7414.776513279711
equality_min,5.0,0.1,3466.0,1459.9224227458085,2006.0775772541913,42.121247049792515,57.87875295020748,9.000500047486852,8628.336752100306
jain,5.0,0.1,3466.0,1459.7145542811563,2006.2854457188437,42.11524969074311,57.88475030925688,3.9999928127104596,6564.114451359747
proportional,5.0,0.2,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,5.0,0.2,3466.0,1463.8157953794284,2002.1842046205716,42.233577477767696,57.7664225222323,4.000000032605732,4272.243991674313
min_max,5.0,0.2,3466.0,1679.8291654741815,1786.1708345258185,48.46593091385405,51.53406908614595,4.00000003192223,7414.705018850747
equality_min,5.0,0.2,3466.0,1459.9224227887485,2006.077577211252,42.1212470510314,57.878752948968604,9.001999860033717,8629.113654965588
jain,5.0,0.2,3466.0,1459.7145542854257,2006.2854457145747,42.11524969086629,57.884750309133715,3.999992812710408,6564.116082111586
proportional,5.0,0.5,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,5.0,0.5,3466.0,1463.815697007405,2002.1843029925947,42.23357463956737,57.76642536043261,4.000000032605732,4272.259003966649
min_max,5.0,0.5,3466.0,1679.8291654730956,1786.1708345269049,48.465930913822724,51.53406908617729,4.00000003192223,7414.690560222802
equality_min,5.0,0.5,3466.0,1459.922422783516,2006.0775772164843,42.121247050880434,57.87875294911957,9.012492257296588,8634.548716789877
jain,5.0,0.5,3466.0,1459.7145542953137,2006.2854457046858,42.11524969115158,57.88475030884841,3.9999928127102784,6564.120538286942
proportional,5.0,1.0,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,5.0,1.0,3466.0,1463.8157000214937,2002.1842999785063,42.233574726528964,57.76642527347104,4.000000032605732,4272.258602539261
min_max,5.0,1.0,3466.0,1679.829165470454,1786.1708345295463,48.465930913746504,51.534069086253496,4.000000049813956,7416.918238601333
equality_min,5.0,1.0,3466.0,1459.9224219760754,2006.077578023925,42.1212470275844,57.87875297241561,9.049875681354024,8653.913331797035
jain,5.0,1.0,3466.0,1459.714554291427,2006.2854457085728,42.115249691039445,57.884750308960555,3.9999928127101256,6564.126715313903
proportional,10.0,0.05,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,10.0,0.05,3466.0,1465.3224040801065,2000.6775959198937,42.27704570340757,57.722954296592434,9.000000086671152,7110.626840313738
min_max,10.0,0.05,3466.0,1679.8291661768428,1786.170833823157,48.46593093412703,51.53406906587297,9.000000100971949,14458.014219111405
equality_min,10.0,0.05,3466.0,1459.9224228327491,2006.0775771672509,42.121247052300895,57.8787529476991,9.000125059199997,11078.14257285972
jain,10.0,0.05,3466.0,1459.7145600558692,2006.2854399441308,42.11524985735341,57.88475014264659,8.99998206922278,12262.4553328574
proportional,10.0,0.1,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,10.0,0.1,3466.0,1465.3224040667296,2000.6775959332704,42.27704570302163,57.722954296978365,9.000000086671152,7110.6268411670235
min_max,10.0,0.1,3466.0,1679.82916617485,1786.17083382515,48.465930934069526,51.53406906593047,9.000000085114236,14457.514754708742
equality_min,10.0,0.1,3466.0,1459.9224229220072,2006.0775770779928,42.12124705487614,57.87875294512386,9.000500047483737,11078.336798767252
jain,10.0,0.1,3466.0,1459.7145600362905,2006.2854399637095,42.11524985678853,57.88475014321147,8.999982069175989,12262.31248449171
proportional,10.0,0.2,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,0.0,2038.8261065673275
efficiency,10.0,0.2,3466.0,1465.3223933543752,2000.6776066456246,42.277045393951965,57.72295460604803,9.000000086671152,7110.627653764196
