Period,LoadScale,GenScale,GenCapacity,TotalLoadRef,TotalServed,TotalShed,PctServed,PctShed
1,0.45,0.5,1559.7,1559.7,1559.7,-0.0,100.0,-0.0
2,0.4,0.5,1559.7,1386.4,1386.4,-0.0,100.0,-0.0
11,0.95,0.92,2869.85,3292.7,2869.85,422.85,87.16,12.84
12,0.92,0.98,3057.01,3188.72,3057.01,131.71,95.87,4.13
13,0.9,1.0,3119.4,3119.4,3119.4,-0.0,100.0,-0.0
14,0.92,0.98,3057.01,3188.72,3057.01,131.71,95.87,4.13
15,0.95,0.92,2869.85,3292.7,2869.85,422.85,87.16,12.84
16,0.98,0.85,2651.49,3396.68,2651.49,745.19,78.06,21.94
17,1.0,0.75,2339.55,3466.0,2339.55,1126.45,67.5,32.5
18,1.0,0.65,2027.61,3466.0,2027.61,1438.39,58.5,41.5
19,0.98,0.55,1715.67,3396.68,1715.67,1681.01,50.51,49.49
20,0.95,0.52,1622.09,3292.7,1622.09,1670.61,49.26,50.74
3,0.38,0.5,1559.7,1317.08,1317.08,-0.0,100.0,-0.0
21,0.85,0.5,1559.7,2946.1,1559.7,1386.4,52.94,47.06
22,0.75,0.5,1559.7,2599.5,1559.7,1039.8,60.0,40.0
23,0.6,0.5,1559.7,2079.6,1559.7,519.9,75.0,25.0
24,0.5,0.5,1559.7,1733.0,1559.7,173.3,90.0,10.0
4,0.38,0.5,1559.7,1317.08,1317.08,-0.0,100.0,-0.0
5,0.4,0.5,1559.7,1386.4,1386.4,-0.0,100.0,-0.0
6,0.5,0.52,1622.09,1733.0,1622.09,110.91,93.6,6.4
7,0.65,0.55,1715.67,2252.9,1715.67,537.23,76.15,23.85
8,0.8,0.65,2027.61,2772.8,2027.61,745.19,73.13,26.87
9,0.9,0.75,2339.55,3119.4,2339.55,779.85,75.0,25.0
10,0.95,0.85,2651.49,3292.7,2651.49,641.21,80.53,19.47
