bus_name,phase,voltage_pu
611,A,1.0366889584446692
611,B,1.0376579673561297
611,C,1.0323598923407733
632,A,1.0384617294996643
632,B,1.0428872294528015
632,C,1.034530423107572
632633,A,1.0384617295183243
632633,B,1.042887229299118
632633,C,1.0345304231082693
632645,A,1.0384617294996368
632645,B,1.0428872294527507
632645,C,1.0345304231077106
633,A,1.0384617176795765
633,B,1.042887226052636
633,C,1.0345304149727743
634,A,1.0333296031415946
634,B,1.0489669332381868
634,C,1.0267391174774305
645,A,1.0384617248148975
645,B,1.0428872213416462
645,C,1.0345304159805793
646,A,1.0366936511492253
646,B,1.0376613579851386
646,C,1.0323651035732462
652,A,1.0316406067720776
652,B,1.0367716732191499
652,C,1.0305023769989063
670,A,1.0390748720530936
670,B,1.041751046569785
670,C,1.032960336628216
671,A,1.0331644608284762
671,B,1.0358967151728316
671,C,1.0305785649376065
675,A,1.0333203699383413
675,B,1.0489658547785456
675,C,1.0267329840933561
680,A,1.0331644647389036
680,B,1.035896719484003
680,C,1.030578569322726
684,A,1.0331678662041557
684,B,1.0359001115666144
684,C,1.030581978857919
692,A,1.032123435666391
692,B,1.0499993431945798
692,C,1.0247107669956668
rg60,A,1.0453129798801175
rg60,B,1.0453129798801175
rg60,C,1.0453129798801175
