bus_name,phase,voltage_pu
611,A,1.0368418427912018
611,B,1.0372808817438723
611,C,1.0278092108802819
632,A,1.0394227041419883
632,B,1.0445570558906936
632,C,1.0334228832349608
632633,A,1.0394227041419772
632633,B,1.044557050148932
632633,C,1.0334228832349597
632645,A,1.0394227041419595
632645,B,1.0445570558920612
632645,C,1.033422883234947
633,A,1.0394226946355405
633,B,1.044557041922471
633,C,1.0334228769444231
634,A,1.0341005178501275
634,B,1.0489676546989197
634,C,1.0245091092005174
645,A,1.0394226968369926
645,B,1.044557045510187
645,C,1.033422872321269
646,A,1.036849165886218
646,B,1.0372873159877938
646,C,1.0278182444782678
652,A,1.030978941196351
652,B,1.033729453364742
652,C,1.0244615750105144
670,A,1.0394227080613758
670,B,1.044557060277382
670,C,1.033422887625508
671,A,1.032015452323619
671,B,1.0331266440848632
671,C,1.024509693399017
675,A,1.0340909624539392
675,B,1.0489665238499337
675,C,1.024502763911921
680,A,1.0320154562432329
680,B,1.0331266483967727
680,C,1.024509697732026
684,A,1.032021919396631
684,B,1.0331331042017629
684,C,1.0245162078507701
692,A,1.0328949212036278
692,B,1.0500000046126574
692,C,1.02247613599317
rg60,A,1.0480180663126912
rg60,B,1.0480180663126912
rg60,C,1.0480180663126912
