bus_name,phase,voltage_pu
611,A,0.9286885318353034
611,B,0.9320185937733222
611,C,0.9253365640119047
632,A,0.9338015474193017
632,B,0.9395124408956234
632,C,0.9299385940874578
632633,A,0.9338015474193004
632633,B,0.9395124408956208
632633,C,0.9299385940874574
632645,A,0.9338015474193001
632645,B,0.9395124408956205
632645,C,0.9299385940874575
633,A,0.933801538545534
633,B,0.939512437858765
633,C,0.929938588305908
634,A,0.929511322828314
634,B,0.9424452170903826
634,C,0.9243720477131122
645,A,0.9338015378957811
645,B,0.9395124315109081
645,C,0.9299385829313592
646,A,0.928698107735738
646,B,0.9320257546973912
646,C,0.9253456211210785
652,A,0.9188203460175898
652,B,0.9297191752118161
652,C,0.9214448720992104
670,A,0.9344833639792154
670,B,0.9382510798671087
670,C,0.9281915965518015
671,A,0.921636569023593
671,B,0.9281097104398351
671,C,0.9215843246169692
675,A,0.9295053920932154
675,B,0.9424443969786432
675,C,0.9243684817885707
680,A,0.921636572488265
680,B,0.9281097143165088
680,C,0.9215843285476308
684,A,0.9216438106131982
684,B,0.9281169015230529
684,C,0.9215915666170953
692,A,0.9295053950329074
692,B,0.9424444014301642
692,C,0.9243684848104101
rg60,A,0.9430907823831122
rg60,B,0.9430907823831122
rg60,C,0.9430907823831122
