bus_name,phase,voltage_pu
611,A,0.8857499479575991
611,B,0.8881735848906008
611,C,0.8785737547676437
632,A,0.889441432025815
632,B,0.8952463082778793
632,C,0.8837792746982404
632633,A,0.8894414320258149
632633,B,0.8952463082778772
632633,C,0.8837792746982412
632645,A,0.8894414320258142
632645,B,0.8952463082778777
632645,C,0.8837792746982408
633,A,0.8894414209335709
633,B,0.8952463061150189
633,C,0.8837792670815772
634,A,0.8838878307503105
634,B,0.8999659007260451
634,C,0.8756859267022179
645,A,0.889441423717867
645,B,0.8952462977432625
645,C,0.883779264010182
646,A,0.8857581578117474
646,B,0.8881805387317256
646,C,0.8785828981496511
652,A,0.8787382024423227
652,B,0.8846618699864358
652,C,0.8749139608747812
670,A,0.8900151502715224
670,B,0.8941854920899959
670,C,0.882306176498306
671,A,0.8801900557096303
671,B,0.8838236946799339
671,C,0.8749831948496556
675,A,0.8838791624414946
675,B,0.8999648538219804
675,C,0.8756802650798684
680,A,0.8801900590110152
680,B,0.8838236983440168
680,C,0.8749831986155056
684,A,0.8801970724902879
684,B,0.8838306826338223
684,C,0.8749902532132654
692,A,0.8829901101304893
692,B,0.9007303080185394
692,C,0.8741738882083541
rg60,A,0.8987704441319572
rg60,B,0.8987704441319572
rg60,C,0.8987704441319572
