case,fair_func,total_demand,total_pshed,total_pd_served,pct_shed,pct_served,objective
motivation_a,efficiency,3466.0,693.1999999999999,2772.8,20.0,80.0,27728.0
motivation_a,equality_min,3466.0,1068.0,2398.0,30.813618003462206,69.18638199653779,170.0
motivation_a,proportional,3466.0,1325.0,2141.0,38.228505481823426,61.771494518176574,35.439422321366976
motivation_a,jain,3466.0,868.0,2598.0,25.04327755337565,74.95672244662434,2508.0
motivation_b,efficiency,3466.0,693.1999999999992,2772.8000000000006,19.99999999999998,80.00000000000001,27728.000000000007
motivation_b,equality_min,3466.0,1068.0,2398.0,30.813618003462206,69.18638199653779,170.0
motivation_b,proportional,3466.0,1325.0,2141.0,38.228505481823426,61.771494518176574,35.439422321366976
motivation_b,jain,3466.0,868.0,2598.0,25.04327755337565,74.95672244662434,2508.0
motivation_c,efficiency,3466.0,693.2000000067152,2772.7999999932854,20.000000000193744,79.99999999980628,27727.99999993285
motivation_c,equality_min,3466.0,1238.0,2228.0,35.71840738603578,64.28159261396422,170.0
motivation_c,proportional,3466.0,1325.0,2141.0,38.228505481823426,61.771494518176574,35.439422321366976
motivation_c,jain,3466.0,868.0,2598.0,25.04327755337565,74.95672244662434,2508.0
