switch_name,phase,p,q,c_mag,current_rating,is_closed
670671,1,0.0,0.0,0.0,1441.066271897306,true
670671,2,0.0,0.0,0.0,1441.066271897306,true
670671,3,0.0,0.0,0.0,1441.066271897306,true
671692,1,0.0,0.0,0.0,700.0,true
671692,2,0.0,0.0,0.0,700.0,true
671692,3,0.0,0.0,0.0,700.0,true
632645,1,0.0,0.0,0.0,700.0,true
632645,2,0.0,0.0,0.0,700.0,true
632645,3,0.0,0.0,0.0,700.0,true
632633,1,0.0,0.0,0.0,700.0,true
632633,2,0.0,0.0,0.0,700.0,true
632633,3,0.0,0.0,0.0,700.0,true
634675,1,0.0,0.0,0.0,1441.066271897306,true
634675,2,0.0,0.0,0.0,1441.066271897306,true
634675,3,0.0,0.0,0.0,1441.066271897306,true
646611,1,0.0,0.0,0.0,700.0,true
646611,2,0.0,0.0,0.0,700.0,true
646611,3,0.0,0.0,0.0,700.0,true
