load_id,pd_served,pshed,qd_served,qshed
1,160.0000015393616,-1.5393615910852532e-6,110.0000010583111,-1.058311099200182e-6
2,68.0000006697803,-6.6978030588416e-7,60.00000059098262,-5.909826228389647e-7
3,1155.0000114924142,-1.1492414159874897e-5,660.0000065670939,-6.567093919329636e-6
4,485.00000477710955,-4.777109552378533e-6,190.00000187144497,-1.871444965217961e-6
5,128.0000012151336,-1.2151336079568864e-6,86.0000008164179,-8.164178950664791e-7
6,3.40052887666905e-5,229.99996599471123,1.951607877044846e-5,131.99998048392123
7,2.5126075758959656e-5,169.99997487392423,1.8475055705117394e-5,124.99998152494429
8,117.00000105805995,-1.0580599507648003e-6,68.00000061494083,-6.149408307010162e-7
9,120.0000011545212,-1.1545212004193672e-6,90.0000008658909,-8.658908967618117e-7
10,66.00000059685433,-5.968543348444655e-7,38.00000034364341,-3.4364340706360963e-7
11,120.0000011545212,-1.1545212004193672e-6,90.0000008658909,-8.658908967618117e-7
12,290.000002856416,-2.856416017493757e-6,212.00000208813861,-2.08813861490853e-6
13,170.00000164939442,-1.6493944201556587e-6,151.00000146505033,-1.465050331717066e-6
14,17.000000153735208,-1.5373520767525406e-7,10.000000090432476,-9.04324757300401e-8
15,170.0000016369373,-1.6369372985991504e-6,80.00000077032342,-7.703234246037027e-7
