switch_name,phase,p,q,c_mag,current_rating,is_closed
sw1,1,0.0,0.0,0.0,1441.066271897306,true
sw1,2,0.0,0.0,0.0,1441.066271897306,true
sw1,3,0.0,0.0,0.0,1441.066271897306,true
sw6,1,0.0,0.0,0.0,1441.066271897306,true
sw6,2,0.0,0.0,0.0,1441.066271897306,true
sw6,3,0.0,0.0,0.0,1441.066271897306,true
sw3,1,0.0,0.0,0.0,1441.066271897306,true
sw3,2,0.0,0.0,0.0,1441.066271897306,true
sw3,3,0.0,0.0,0.0,1441.066271897306,true
sw4,1,0.0,0.0,0.0,1441.066271897306,true
sw4,2,0.0,0.0,0.0,1441.066271897306,true
sw4,3,0.0,0.0,0.0,1441.066271897306,true
sw5,1,0.0,0.0,0.0,1441.066271897306,true
sw5,2,0.0,0.0,0.0,1441.066271897306,true
sw5,3,0.0,0.0,0.0,1441.066271897306,true
sw2,1,0.0,0.0,0.0,1441.066271897306,true
sw2,2,0.0,0.0,0.0,1441.066271897306,true
sw2,3,0.0,0.0,0.0,1441.066271897306,true
