config_id,switch_config,feasible,termination_status,total_pshed,total_pd_served,jains,gini,palma,total_load_served_kw,sw_671692,sw_632633,sw_646611,sw_670671,sw_632645,sw_634675
1,000000,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2,100000,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,0.0,0.0,0.0,0.0
3,010000,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,0.0,1.0,0.0,0.0,0.0,0.0
4,110000,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,1.0,0.0,0.0,0.0,0.0
5,001000,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,1.0,0.0,0.0,0.0
6,101000,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,1.0,0.0,0.0,0.0
7,011000,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,0.0,1.0,1.0,0.0,0.0,0.0
8,111000,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,1.0,1.0,0.0,0.0,0.0
9,000100,true,OPTIMAL,2968.0,498.0,0.3333333333333333,0.6666666666666665,Inf,498.0,0.0,0.0,0.0,1.0,0.0,0.0
10,100100,true,OPTIMAL,2968.0,498.0,0.3333333333333333,0.6666666666666665,Inf,498.0,1.0,0.0,0.0,1.0,0.0,0.0
11,010100,true,OPTIMAL,2568.0,898.0,0.4444444444444444,0.5555555555555556,Inf,898.0,0.0,1.0,0.0,1.0,0.0,0.0
12,110100,true,OPTIMAL,2568.0,898.0,0.4444444444444444,0.5555555555555556,Inf,898.0,1.0,1.0,0.0,1.0,0.0,0.0
13,001100,true,OPTIMAL,2908.0,558.0,0.3333333333333333,0.6666666666666665,Inf,558.0,0.0,0.0,1.0,1.0,0.0,0.0
14,101100,true,OPTIMAL,2908.0,558.0,0.3333333333333333,0.6666666666666665,Inf,558.0,1.0,0.0,1.0,1.0,0.0,0.0
15,011100,true,OPTIMAL,2508.0,958.0,0.4444444444444444,0.5555555555555556,Inf,958.0,0.0,1.0,1.0,1.0,0.0,0.0
16,111100,true,OPTIMAL,2508.0,958.0,0.4444444444444444,0.5555555555555556,Inf,958.0,1.0,1.0,1.0,1.0,0.0,0.0
17,000010,true,OPTIMAL,3036.0,430.0,0.2222222222222222,0.7777777777777777,Inf,430.0,0.0,0.0,0.0,0.0,1.0,0.0
18,100010,true,OPTIMAL,3036.0,430.0,0.2222222222222222,0.7777777777777777,Inf,430.0,1.0,0.0,0.0,0.0,1.0,0.0
19,010010,true,OPTIMAL,2636.0,830.0,0.3333333333333333,0.6666666666666665,Inf,830.0,0.0,1.0,0.0,0.0,1.0,0.0
20,110010,true,OPTIMAL,2636.0,830.0,0.3333333333333333,0.6666666666666665,Inf,830.0,1.0,1.0,0.0,0.0,1.0,0.0
21,001010,true,OPTIMAL,2908.0,558.0,0.3333333333333333,0.6666666666666665,Inf,558.0,0.0,0.0,1.0,0.0,1.0,0.0
22,101010,true,OPTIMAL,2908.0,558.0,0.3333333333333333,0.6666666666666665,Inf,558.0,1.0,0.0,1.0,0.0,1.0,0.0
23,011010,true,OPTIMAL,2508.0,958.0,0.4444444444444444,0.5555555555555556,Inf,958.0,0.0,1.0,1.0,0.0,1.0,0.0
