bus_name,phase,voltage_pu
611,A,0.0
611,B,0.0
611,C,0.0
632,A,0.952012438686062
632,B,1.0462761554341466
632,C,1.0447673791585013
633,A,0.0
633,B,0.0
633,C,0.0
634,A,0.0
634,B,0.0
634,C,0.0
645,A,0.0
645,B,0.0
645,C,0.0
646,A,0.0
646,B,0.0
646,C,0.0
652,A,0.0
652,B,0.0
652,C,0.0
670,A,0.9526562972047767
670,B,1.04504507161312
670,C,1.0430316240694189
671,A,0.0
671,B,0.0
671,C,0.0
675,A,0.0
675,B,0.0
675,C,0.0
680,A,0.0
680,B,0.0
680,C,0.0
684,A,0.0
684,B,0.0
684,C,0.0
692,A,0.0
692,B,0.0
692,C,0.0
rg60,A,0.9500817735742906
rg60,B,1.049967525046518
rg60,C,1.0499969066446735
