bus_name,phase,voltage_pu
611,A,1.0271208540886332
611,B,1.0206185794738925
611,C,1.0134817530375633
632,A,1.028413162852122
632,B,1.0219338773561055
632,C,1.0186481927481017
633,A,1.0284131593870611
633,B,1.021933875210426
633,C,1.0186481902414761
634,A,1.0273460844379338
634,B,1.0228514579398813
634,C,1.0178017293428505
645,A,1.028413162852122
645,B,1.0219338744256004
645,C,1.018648190790143
646,A,1.028976300022202
646,B,1.020252986836894
646,C,1.0176014816016619
652,A,1.0211996312606837
652,B,1.0227879724618476
652,C,1.0141093391255613
670,A,1.0274794314892413
670,B,1.0209145186939983
670,C,1.0155175776075906
671,A,1.027479428770163
671,B,1.0209145181401933
671,C,1.015517574141655
675,A,1.0273460836776664
675,B,1.0228514578328187
675,C,1.0178017288839947
680,A,1.027479441993847
680,B,1.0209145323797737
680,C,1.0155175887417311
684,A,1.0262931189917708
684,B,1.021158061410934
684,C,1.0144648688765756
692,A,1.0273463530322469
692,B,1.022851706280535
692,C,1.0178020311184173
rg60,A,1.0299999999999998
rg60,B,1.03
rg60,C,1.0299999999999998
