Voltage Diagnostic: ieee123_aw_mod / efficiency
============================================================

Source generator: gen 1, bus 58
  vg (math_mld): [0.00103, 0.00103, 0.00103]
  vg (math_ac):  [0.00103, 0.00103, 0.00103]


Per-Bus Voltage Comparison (MLD w→√w vs ACPF vm)
--------------------------------------------------------------------------------
   Bus  Name            MLD_V1  MLD_V2  MLD_V3     AC_V1   AC_V2   AC_V3       ΔV1     ΔV2     ΔV3
     1  32                 0.0     0.0  1.0038       0.0     0.0  1.0036       0.0     0.0 -0.0002
     2  29              1.0012  1.0244   1.005    1.0004  1.0246  1.0048   -0.0008  0.0001 -0.0002
     3  1               1.0238  1.0291  1.0246    1.0235  1.0291  1.0245   -0.0003     0.0 -0.0001
     4  109                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
     5  81                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
     6  101                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
     7  54                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
     8  2                  0.0  1.0288     0.0       0.0  1.0289     0.0       0.0     0.0     0.0
     9  78                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    10  30              1.0015  1.0244  1.0045    1.0007  1.0245  1.0043   -0.0008  0.0001 -0.0002
    11  74                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    12  41                 0.0     0.0  1.0065       0.0     0.0  1.0063       0.0     0.0 -0.0003
    13  105                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    14  9r              1.0147     0.0     0.0    1.0142     0.0     0.0   -0.0005     0.0     0.0
    15  65                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    16  53                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    17  51              0.9948  1.0164  1.0035    0.9939  1.0166  1.0033   -0.0009  0.0002 -0.0003
    18  106                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    19  160r               0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    20  27              1.0009     0.0  1.0048    1.0001     0.0  1.0045   -0.0008     0.0 -0.0002
    21  75                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    22  42              0.9974  1.0186  1.0061    0.9965  1.0187  1.0058   -0.0009  0.0001 -0.0003
    23  33              0.9996     0.0     0.0    0.9987     0.0     0.0   -0.0008     0.0     0.0
    24  28              1.0014  1.0243  1.0054    1.0006  1.0244  1.0052   -0.0008  0.0001 -0.0002
    25  52                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    26  50               0.995  1.0163  1.0036     0.994  1.0165  1.0033   -0.0009  0.0002 -0.0003
    27  111                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    28  63                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    29  92                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    30  88                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    31  93                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    32  26              1.0013     0.0  1.0048    1.0004     0.0  1.0046   -0.0008     0.0 -0.0002
    33  10              1.0127     0.0     0.0    1.0122     0.0     0.0   -0.0005     0.0     0.0
    34  250             1.0015  1.0244  1.0045    1.0007  1.0245  1.0043   -0.0008  0.0001 -0.0002
    35  77                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    36  24                 0.0     0.0  1.0052       0.0     0.0   1.005       0.0     0.0 -0.0002
    37  87                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    38  58                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    39  25              1.0018  1.0241  1.0058    1.0009  1.0242  1.0056   -0.0008  0.0001 -0.0002
    40  114                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    41  23              1.0024  1.0236  1.0067    1.0016  1.0237  1.0065   -0.0008  0.0001 -0.0002
    42  160                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    43  450                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    44  149               1.03    1.03    1.03      1.03    1.03    1.03      -0.0    -0.0    -0.0
    45  49               0.995  1.0163  1.0039    0.9941  1.0165  1.0036   -0.0009  0.0002 -0.0003
    46  61s                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    47  59                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    48  31                 0.0     0.0  1.0042       0.0     0.0   1.004       0.0     0.0 -0.0002
    49  5                  0.0     0.0  1.0218       0.0     0.0  1.0217       0.0     0.0 -0.0001
    50  89                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    51  62                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    52  43                 0.0  1.0173     0.0       0.0  1.0174     0.0       0.0  0.0001     0.0
    53  90                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    54  39                 0.0  1.0193     0.0       0.0  1.0194     0.0       0.0  0.0001     0.0
    55  112                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    56  34                 0.0     0.0  1.0153       0.0     0.0  1.0151       0.0     0.0 -0.0002
    57  44              0.9963  1.0179  1.0052    0.9954  1.0181   1.005   -0.0009  0.0001 -0.0003
    58  150               1.03    1.03    1.03      1.03    1.03    1.03       0.0     0.0     0.0
    59  94                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    60  55                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    61  86                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    62  17                 0.0     0.0  1.0145       0.0     0.0  1.0143       0.0     0.0 -0.0002
    63  99                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    64  71                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    65  152                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    66  47              0.9953  1.0169  1.0042    0.9943   1.017  1.0039   -0.0009  0.0002 -0.0003
    67  37              0.9987     0.0     0.0    0.9979     0.0     0.0   -0.0009     0.0     0.0
    68  9               1.0147     0.0     0.0    1.0142     0.0     0.0   -0.0005     0.0     0.0
    69  73                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    70  82                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    71  25r             1.0015     0.0  1.0053    1.0007     0.0  1.0051   -0.0008     0.0 -0.0002
    72  79                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    73  12                 0.0  1.0277     0.0       0.0  1.0277     0.0       0.0  0.0001     0.0
    74  20              1.0012     0.0     0.0    1.0004     0.0     0.0   -0.0008     0.0     0.0
