bus_id,vm_avg,z_voltage
1,1.0148135769781252,1.0
2,1.0148135879920177,1.0
3,1.0139161760374469,1.0
4,1.0147762069966664,1.0
5,1.0156042178550158,1.0
6,1.03,1.0
7,1.014802195364018,1.0
8,1.0163904118856522,1.0
9,1.0163904118856522,1.0
10,1.0163904118856522,1.0
11,1.0148033731519974,1.0
12,1.0148135769781252,1.0
13,1.0148135769781252,1.0
14,1.0156581019245154,1.0
15,1.0148135769781252,1.0
16,1.0163904118856522,1.0
17,1.014802195364018,1.0
18,1.0148135769781252,1.0
19,1.0163904118856522,1.0
20,1.0156042178550158,1.0
