case,fair_func,period,load_id,weight
motivation_c,proportional,0,5,7.500000308521924
motivation_c,proportional,0,12,7.500000308686712
motivation_c,proportional,0,8,7.500000315616861
motivation_c,proportional,0,1,7.500000311278092
motivation_c,proportional,0,6,7.500000308526483
motivation_c,proportional,0,11,7.500000306680216
motivation_c,proportional,0,9,7.500000306680205
motivation_c,proportional,0,14,7.500000260006391
motivation_c,proportional,0,3,7.500000308530657
motivation_c,proportional,0,7,7.500000308522262
motivation_c,proportional,0,4,7.500000315544915
motivation_c,proportional,0,13,7.500000308528983
motivation_c,proportional,0,15,7.500000308521662
motivation_c,proportional,0,2,7.500000253301682
motivation_c,proportional,0,10,7.500000308348043
motivation_c,proportional,1,5,7.5000003115000835
motivation_c,proportional,1,12,7.5000003115735305
motivation_c,proportional,1,8,7.500000317312016
motivation_c,proportional,1,1,7.500000313758691
motivation_c,proportional,1,6,7.500000311503811
motivation_c,proportional,1,11,7.500000309990425
motivation_c,proportional,1,9,7.500000309990412
motivation_c,proportional,1,14,7.500000271779756
motivation_c,proportional,1,3,7.500000311507232
motivation_c,proportional,1,7,7.500000311500358
motivation_c,proportional,1,4,7.500000317267648
motivation_c,proportional,1,13,7.500000311505862
motivation_c,proportional,1,15,7.500000311499866
motivation_c,proportional,1,2,7.500000265715487
motivation_c,proportional,1,10,7.50000031135688
motivation_c,proportional,2,5,7.500000313740447
motivation_c,proportional,2,12,7.500000313748553
motivation_c,proportional,2,8,7.500000318587466
motivation_c,proportional,2,1,7.500000315624829
motivation_c,proportional,2,6,7.500000313743549
motivation_c,proportional,2,11,7.500000312480529
motivation_c,proportional,2,9,7.500000312480516
motivation_c,proportional,2,14,7.500000280626056
motivation_c,proportional,2,3,7.500000313746402
motivation_c,proportional,2,7,7.50000031374067
motivation_c,proportional,2,4,7.50000031856288
motivation_c,proportional,2,13,7.500000313745262
motivation_c,proportional,2,15,7.5000003137402595
motivation_c,proportional,2,2,7.5000002750696115
motivation_c,proportional,2,10,7.500000313620356
motivation_c,proportional,3,5,7.500000315168129
motivation_c,proportional,3,12,7.500000315136184
motivation_c,proportional,3,8,7.500000319400365
motivation_c,proportional,3,1,7.500000316814064
motivation_c,proportional,3,6,7.500000315170836
motivation_c,proportional,3,11,7.5000003140673455
motivation_c,proportional,3,9,7.500000314067334
motivation_c,proportional,3,14,7.5000002862586985
motivation_c,proportional,3,3,7.5000003151733265
motivation_c,proportional,3,7,7.5000003151683226
motivation_c,proportional,3,4,7.5000003193879
motivation_c,proportional,3,13,7.500000315172333
motivation_c,proportional,3,15,7.500000315167963
motivation_c,proportional,3,2,7.500000281037235
motivation_c,proportional,3,10,7.500000315062791
motivation_c,proportional,4,5,7.5000003158632405
motivation_c,proportional,4,12,7.500000315812464
motivation_c,proportional,4,8,7.50000031979618
motivation_c,proportional,4,1,7.500000317393084
motivation_c,proportional,4,6,7.500000315865752
motivation_c,proportional,4,11,7.500000314839936
motivation_c,proportional,4,9,7.500000314839924
motivation_c,proportional,4,14,7.500000288999831
motivation_c,proportional,4,3,7.500000315868068
motivation_c,proportional,4,7,7.500000315863419
motivation_c,proportional,4,4,7.500000319789421
motivation_c,proportional,4,13,7.500000315867143
motivation_c,proportional,4,15,7.500000315863085
motivation_c,proportional,4,2,7.500000283946483
motivation_c,proportional,4,10,7.500000315765093
motivation_c,proportional,5,5,7.5000003158632405
motivation_c,proportional,5,12,7.500000315812464
motivation_c,proportional,5,8,7.50000031979618
motivation_c,proportional,5,1,7.500000317393084
motivation_c,proportional,5,6,7.500000315865752
motivation_c,proportional,5,11,7.500000314839936
motivation_c,proportional,5,9,7.500000314839924
motivation_c,proportional,5,14,7.500000288999831
motivation_c,proportional,5,3,7.500000315868068
motivation_c,proportional,5,7,7.500000315863419
motivation_c,proportional,5,4,7.500000319789421
motivation_c,proportional,5,13,7.500000315867143
motivation_c,proportional,5,15,7.500000315863085
motivation_c,proportional,5,2,7.500000283946483
motivation_c,proportional,5,10,7.500000315765093
motivation_c,proportional,6,5,7.500000315168129
motivation_c,proportional,6,12,7.500000315136184
motivation_c,proportional,6,8,7.500000319400365
motivation_c,proportional,6,1,7.500000316814064
motivation_c,proportional,6,6,7.500000315170836
motivation_c,proportional,6,11,7.5000003140673455
motivation_c,proportional,6,9,7.500000314067334
motivation_c,proportional,6,14,7.5000002862586985
motivation_c,proportional,6,3,7.5000003151733265
motivation_c,proportional,6,7,7.5000003151683226
motivation_c,proportional,6,4,7.5000003193879
motivation_c,proportional,6,13,7.500000315172333
motivation_c,proportional,6,15,7.500000315167963
motivation_c,proportional,6,2,7.500000281037235
motivation_c,proportional,6,10,7.500000315062791
motivation_c,proportional,7,5,7.500000313740447
motivation_c,proportional,7,12,7.500000313748553
motivation_c,proportional,7,8,7.500000318587466
motivation_c,proportional,7,1,7.500000315624829
motivation_c,proportional,7,6,7.500000313743549
motivation_c,proportional,7,11,7.500000312480529
motivation_c,proportional,7,9,7.500000312480516
motivation_c,proportional,7,14,7.500000280626056
motivation_c,proportional,7,3,7.500000313746402
motivation_c,proportional,7,7,7.50000031374067
motivation_c,proportional,7,4,7.50000031856288
motivation_c,proportional,7,13,7.500000313745262
motivation_c,proportional,7,15,7.5000003137402595
motivation_c,proportional,7,2,7.5000002750696115
motivation_c,proportional,7,10,7.500000313620356
motivation_c,proportional,8,5,7.5000003115000835
motivation_c,proportional,8,12,7.5000003115735305
motivation_c,proportional,8,8,7.500000317312016
motivation_c,proportional,8,1,7.500000313758691
motivation_c,proportional,8,6,7.500000311503811
motivation_c,proportional,8,11,7.500000309990425
motivation_c,proportional,8,9,7.500000309990412
motivation_c,proportional,8,14,7.500000271779756
motivation_c,proportional,8,3,7.500000311507232
motivation_c,proportional,8,7,7.500000311500358
motivation_c,proportional,8,4,7.500000317267648
motivation_c,proportional,8,13,7.500000311505862
motivation_c,proportional,8,15,7.500000311499866
motivation_c,proportional,8,2,7.500000265715487
motivation_c,proportional,8,10,7.50000031135688
