iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,LOCALLY_SOLVED,15827.762820989932,15568.010800966465,0.0,0.0,5.500000054531492,5.500000054974941,30.00356294684359,675,0,45,warmstart
2,LOCALLY_SOLVED,15568.013961149827,15308.262200524405,0.0,0.0,6.00000011406299,6.0000001149498825,30.003559343760106,675,0,45,warmstart
1,LOCALLY_SOLVED,15308.269271693613,15048.51780450508,0.0,0.0,6.500000178594495,6.500000179924824,30.003558720508988,675,0,45,main
2,LOCALLY_SOLVED,15048.51485236098,14788.763536363029,0.0,0.0,7.000000248126007,7.0000002498997675,30.003559053922572,675,0,45,main
3,LOCALLY_SOLVED,14788.765767398387,14529.01462654559,0.0,0.0,7.500000322657529,7.500000324874711,30.003560160316948,675,0,45,main
4,LOCALLY_SOLVED,14529.019130284642,14269.267903496217,0.0,0.0,8.000000402189066,8.000000404849656,30.003561683998164,675,0,45,main
5,LOCALLY_SOLVED,14269.267140024489,14009.515230832481,0.0,0.0,8.500000486720626,8.5000004898246,30.003572235570783,675,0,45,main
6,LOCALLY_SOLVED,14009.552438790144,13749.802146435106,0.0,0.0,9.000000576252223,9.000000579799547,30.003560086817746,675,0,45,main
7,LOCALLY_SOLVED,13749.769357191082,13490.013058968669,0.0,0.0,9.500000670783946,9.500000674774494,30.00369824840392,675,0,45,main
8,LOCALLY_SOLVED,13490.021314136948,13230.269494543852,0.0,0.0,10.000000099548863,10.000000099974942,30.003571963933194,675,0,45,main
9,LOCALLY_SOLVED,13249.620681158647,13233.278411063779,0.0,0.0,9.5000000049942,10.00000009997494,25.764088785419737,675,0,45,main
10,LOCALLY_SOLVED,13308.185470533746,13230.341302479108,0.0,0.0,10.000000099377113,10.000000099980324,30.002967618508144,675,0,45,main
11,LOCALLY_SOLVED,13249.620834010257,13233.27829978247,0.0,0.0,9.50000000499247,10.00000009997494,25.76394842652885,675,0,45,main
12,LOCALLY_SOLVED,13308.185470532466,13230.341193044173,0.0,0.0,10.000000099375315,10.000000099980324,30.00296869521504,675,0,45,main
13,LOCALLY_SOLVED,13249.620494343568,13233.278449509406,0.0,0.0,9.50000000499245,10.00000009997494,25.763875412402,675,0,45,main
14,LOCALLY_SOLVED,13308.18547053806,13230.341237582797,0.0,0.0,10.00000009937526,10.000000099980324,30.002967645191614,675,0,45,main
15,LOCALLY_SOLVED,13249.620598938489,13233.277969881838,0.0,0.0,9.500000004992447,10.00000009997494,25.763910446077787,675,0,45,main
16,LOCALLY_SOLVED,13308.185472377083,13230.341203408254,0.0,0.0,10.000000099375258,10.000000099980324,30.002970725254677,675,0,45,main
17,LOCALLY_SOLVED,13249.620804392855,13233.278460797414,0.0,0.0,9.50000000499245,10.00000009997494,25.763993332134856,675,0,45,main
18,LOCALLY_SOLVED,13308.18547056394,13230.34150260024,0.0,0.0,10.000000099375246,10.000000099980324,30.002953553896248,675,0,45,main
19,LOCALLY_SOLVED,13249.620781048854,13233.27849905518,0.0,0.0,9.500000004992451,10.00000009997494,25.76396422817025,675,0,45,main
20,LOCALLY_SOLVED,13308.185470606912,13230.341567877513,0.0,0.0,10.000000099375246,10.000000099980324,30.0029504440841,675,0,45,main
