iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,LOCALLY_SOLVED,15827.762820989932,15997.480806281892,0.0,0.0,4.4999999550453955,5.500000054997794,30.00356294684359,675,0,45,warmstart
2,LOCALLY_SOLVED,15997.51210228855,16167.230052430776,0.0,0.0,3.999999915091473,6.000000114995561,30.00355957700281,675,0,45,warmstart
1,LOCALLY_SOLVED,16167.261460093481,16336.979481776083,0.0,0.0,3.4999998801382537,6.5000001799933,30.003560274090777,675,0,45,main
2,LOCALLY_SOLVED,16337.010777841097,16506.7288833726,0.0,0.0,2.9999998501857585,7.000000249991013,30.00356073263712,675,0,45,main
3,LOCALLY_SOLVED,16506.760093045657,16676.478334685202,0.0,0.0,2.4999998252340108,7.500000324988696,30.003561482305802,675,0,45,main
4,LOCALLY_SOLVED,16676.509404143875,16846.22757491309,0.0,0.0,1.9999998052830334,8.000000404986352,30.00356138823084,675,0,45,main
5,LOCALLY_SOLVED,16846.258709199556,17015.97679369729,0.0,0.0,1.4999997903328508,8.500000489983975,30.003561306277852,675,0,45,main
6,LOCALLY_SOLVED,17016.008003436913,17185.725768680182,0.0,0.0,0.9999999900506498,9.00000057998157,30.003560738643138,675,0,45,main
7,LOCALLY_SOLVED,17185.757257800997,17140.740272227868,0.0,0.0,0.9999999900511451,9.500000674979141,30.003559961376165,675,0,45,main
8,LOCALLY_SOLVED,17140.757250458515,17095.74033114517,0.0,0.0,0.9999999900516616,10.000000100000008,30.00355981784438,675,0,45,main
9,LOCALLY_SOLVED,17095.757303366823,17095.757303366903,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559676182256,675,0,45,main
10,LOCALLY_SOLVED,17095.75259794121,17095.75259794121,0.0,0.0,0.9999999900516617,10.00000009999754,30.00355967383439,675,0,45,main
11,LOCALLY_SOLVED,17095.7572323388,17095.7572323388,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559254645012,675,0,45,main
12,LOCALLY_SOLVED,17095.75650872033,17095.75650872033,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559676036854,675,0,45,main
13,LOCALLY_SOLVED,17095.75259794121,17095.75259794121,0.0,0.0,0.9999999900516617,10.00000009999754,30.00355967383439,675,0,45,main
14,LOCALLY_SOLVED,17095.7572323388,17095.7572323388,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559254645012,675,0,45,main
15,LOCALLY_SOLVED,17095.75650872033,17095.75650872033,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559676036854,675,0,45,main
16,LOCALLY_SOLVED,17095.75259794121,17095.75259794121,0.0,0.0,0.9999999900516617,10.00000009999754,30.00355967383439,675,0,45,main
17,LOCALLY_SOLVED,17095.7572323388,17095.7572323388,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559254645012,675,0,45,main
18,LOCALLY_SOLVED,17095.75650872033,17095.75650872033,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559676036854,675,0,45,main
19,LOCALLY_SOLVED,17095.75259794121,17095.75259794121,0.0,0.0,0.9999999900516617,10.00000009999754,30.00355967383439,675,0,45,main
20,LOCALLY_SOLVED,17095.7572323388,17095.7572323388,0.0,0.0,0.9999999900516617,10.00000009999754,30.003559254645012,675,0,45,main
