iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,OPTIMAL,15827.762820989932,15856.025520934149,0.0,0.0,4.5,5.5,30.00356294684359,675,0,45,warmstart
2,OPTIMAL,15855.93227324844,15959.404807030347,0.0,0.0,4.0,6.0,30.003595522725416,675,0,45,warmstart
1,OPTIMAL,15959.280080760878,16031.604585878427,0.0,0.0,3.5,6.5,30.003585343296578,675,0,45,main
2,OPTIMAL,16031.442770558837,16117.112609597518,0.0,0.0,3.0,7.0,30.003558446920213,675,0,45,main
3,OPTIMAL,16116.99599695396,16220.470066875714,0.0,0.0,2.5,7.5,30.003586257980437,675,0,45,main
4,OPTIMAL,16220.347097461006,16307.92851469341,0.0,0.0,2.0,8.0,30.003566053037268,675,0,45,main
5,OPTIMAL,16307.805980222234,16405.103937750995,0.0,0.0,1.5,8.5,30.003555699899405,675,0,45,main
6,OPTIMAL,16404.98131529069,16501.100311695267,0.0,0.0,1.0,9.0,30.003565646337265,675,0,45,main
7,OPTIMAL,16500.978132790304,16453.154626456155,0.0,0.0,1.0,9.5,30.00356086975166,675,0,45,main
8,OPTIMAL,16453.07941954334,16396.108492460684,0.0,0.0,1.0,10.0,30.00355714349277,675,0,45,main
9,OPTIMAL,16396.03755421933,16398.716454144283,0.0,0.0,1.0,10.0,30.003557320411183,675,0,45,main
10,OPTIMAL,16398.715479891132,16398.714707041727,0.0,0.0,1.0,10.0,30.003557785840737,675,0,45,main
11,OPTIMAL,16398.714665809606,16403.717199498908,0.0,0.0,1.0,10.0,30.003557320942445,675,0,45,main
12,OPTIMAL,16403.715300556923,16398.71419468573,0.0,0.0,1.0,10.0,30.003557290912358,675,0,45,main
13,OPTIMAL,16398.716093805233,16398.715436088474,0.0,0.0,1.0,10.0,30.00355731245412,675,0,45,main
14,OPTIMAL,16398.715436316343,16398.715438068597,0.0,0.0,1.0,10.0,30.003557323377294,675,0,45,main
15,OPTIMAL,16398.715444430953,16398.71545853316,0.0,0.0,1.0,10.0,30.003557784943155,675,0,45,main
16,OPTIMAL,16398.715452177603,16403.717336557485,0.0,0.0,1.0,10.0,30.003557320732877,675,0,45,main
17,OPTIMAL,16403.715437913626,16408.717334941954,0.0,0.0,1.0,10.0,30.003557289546073,675,0,45,main
18,OPTIMAL,16408.715287184667,16411.875823042414,0.0,0.0,1.0,10.0,30.003557699431514,675,0,45,main
19,OPTIMAL,16411.874772026662,16411.874983655016,0.0,0.0,1.0,10.0,30.003557695880264,675,0,45,main
20,OPTIMAL,16411.874988271786,16411.87499254537,0.0,0.0,1.0,10.0,30.00355769582839,675,0,45,main
