iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,LOCALLY_SOLVED,15827.762820989932,15568.010801180144,0.0,0.0,5.500000052791321,5.50000005473562,30.00356294684359,675,0,45,warmstart
2,LOCALLY_SOLVED,15568.014246084356,15308.262485709976,0.0,0.0,6.000000110381626,6.000000114447204,30.003559343860292,675,0,45,warmstart
1,LOCALLY_SOLVED,15308.264188855552,15048.512716949093,0.0,0.0,6.5000001727709416,6.500000179134752,30.003559871349083,675,0,45,main
2,LOCALLY_SOLVED,15048.514838728448,14788.76352300642,0.0,0.0,7.000000239959337,7.000000248798266,30.003559054029065,675,0,45,main
3,LOCALLY_SOLVED,14788.773353781942,14529.02221234866,0.0,0.0,7.500000311946949,7.5000003234377495,30.00356016380288,675,0,45,main
4,LOCALLY_SOLVED,14529.016565962938,14269.265340543523,0.0,0.0,8.000000388734023,8.000000403053203,30.003561673803233,675,0,45,main
5,LOCALLY_SOLVED,14269.297839555044,14009.54590897344,0.0,0.0,8.500000470321165,8.500000487644638,30.003572530708418,675,0,45,main
6,LOCALLY_SOLVED,14009.523167155632,13749.77287899394,0.0,0.0,9.000000556711342,9.000000577212074,30.00356004605404,675,0,45,main
7,LOCALLY_SOLVED,13749.76971009892,13490.016937047532,0.0,0.0,9.500000647907706,9.500000671755592,30.003296761244034,675,0,45,main
8,LOCALLY_SOLVED,13490.022529353562,13230.269260377067,0.0,0.0,10.000000095948756,10.000000099519056,30.00356477996979,675,0,45,main
9,LOCALLY_SOLVED,13249.62083115236,13251.24821595647,0.0,0.0,9.500000004983377,10.000000099517457,25.76395660917533,675,0,45,main
10,LOCALLY_SOLVED,13320.28001999251,13230.248595923094,0.0,0.0,10.000000095986781,10.00000009956232,30.002694616423145,675,0,45,main
11,LOCALLY_SOLVED,13249.620770131361,13251.247700651791,0.0,0.0,9.500000005391245,10.000000099517457,25.763964343888517,675,0,45,main
12,LOCALLY_SOLVED,13320.273289410567,13230.24884866076,0.0,0.0,10.000000095986426,10.000000099519402,30.002846946877636,675,0,45,main
13,LOCALLY_SOLVED,13249.620443638663,13251.248409371456,0.0,0.0,9.500000005252886,10.00000009951746,25.76380886404498,675,0,45,main
14,LOCALLY_SOLVED,13320.280020010012,13230.248365606907,0.0,0.0,10.000000095986788,10.00000009951941,30.002705390566117,675,0,45,main
15,LOCALLY_SOLVED,13249.62049000374,13251.247637885363,0.0,0.0,9.500000005264052,10.00000009951746,25.763764652641,675,0,45,main
16,LOCALLY_SOLVED,13320.277721991453,13230.253077564643,0.0,0.0,10.000000095986437,10.000000099519402,30.002856961320465,675,0,45,main
17,LOCALLY_SOLVED,13249.620828022977,13251.248336273971,0.0,0.0,9.50000000526293,10.000000099517457,25.763947679957994,675,0,45,main
18,LOCALLY_SOLVED,13320.280019964766,13230.247299647037,0.0,0.0,10.000000095986817,10.00000009951941,30.002751129244416,675,0,45,main
19,LOCALLY_SOLVED,13249.620819353408,13251.248367155104,0.0,0.0,9.500000005263335,10.000000099517457,25.763948830927472,675,0,45,main
20,LOCALLY_SOLVED,13320.273282679853,13230.247881001033,0.0,0.0,10.000000095986449,10.000000099519402,30.002885665319518,675,0,45,main
