criterion,approach,weighted_shed,fairness_metric
jain,efficiency_MILP,309838.78595999995,8.858254545814848
jain,fairness_MILP,359072.55455999996,44.65351926296361
jain,bilevel,495011.71284648456,12.377115117192968
min_max,efficiency_MILP,309838.78595999995,74650.6762
min_max,fairness_MILP,316651.25315999996,74650.6762
min_max,bilevel,383157.3853707339,151733.35233839563
proportional,efficiency_MILP,309838.78595999995,-12763.561811018339
proportional,fairness_MILP,342931.35375999997,-1446.0057954833935
proportional,bilevel,383157.38313032663,5896.527851138437
palma,efficiency_MILP,309838.78595999995,445.54801324503313
palma,fairness_MILP,355706.62411999993,173.39626288659795
palma,bilevel,476836.3416965325,255.3753800184499
