config_bits,switch_states,mld_status,mld_objective,total_pshed,obj_efficient,obj_jain,obj_min_max,obj_proportional,obj_infinity_norm,obj_equality_min,obj_palma
000000,"1=0,2=0,3=0,4=0,5=0,6=0",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
100000,"1=1,2=0,3=0,4=0,5=0,6=0",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
010000,"1=0,2=1,3=0,4=0,5=0,6=0",OPTIMAL,600.0,5732.0,5732.0,0.6037593667181563,2310.0,-195.80879118912284,1155.0,3.0410056e7,Inf
110000,"1=1,2=1,3=0,4=0,5=0,6=0",OPTIMAL,600.0,5732.0,5732.0,0.6037593667181563,2310.0,-195.80879118912284,1155.0,3.0410056e7,Inf
001000,"1=0,2=0,3=1,4=0,5=0,6=0",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
101000,"1=1,2=0,3=1,4=0,5=0,6=0",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
011000,"1=0,2=1,3=1,4=0,5=0,6=0",OPTIMAL,600.0,5732.0,5732.0,0.6037593667181563,2310.0,-195.80879118912284,1155.0,3.0410056e7,Inf
111000,"1=1,2=1,3=1,4=0,5=0,6=0",OPTIMAL,600.0,5732.0,5732.0,0.6037593667181563,2310.0,-195.80879118912284,1155.0,3.0410056e7,Inf
000100,"1=0,2=0,3=0,4=1,5=0,6=0",OPTIMAL,1653.0,3626.0,3626.0,0.8961526009322855,970.0,-191.02973715957916,485.0,4.518598e6,Inf
100100,"1=1,2=0,3=0,4=1,5=0,6=0",OPTIMAL,2368.0,2196.0,2196.0,0.8857375856824844,460.0,-113.32468039256605,230.0,940268.0,Inf
010100,"1=0,2=1,3=0,4=1,5=0,6=0",OPTIMAL,2053.0,2826.0,2826.0,0.6124693718379658,970.0,-78.83635916436438,485.0,5.185798e6,Inf
110100,"1=1,2=1,3=0,4=1,5=0,6=0",OPTIMAL,2368.0,2196.0,2196.0,0.8857375856824844,460.0,-113.32468039256605,230.0,940268.0,Inf
001100,"1=0,2=0,3=1,4=1,5=0,6=0",OPTIMAL,2053.0,2826.0,2826.0,0.6536767432209778,970.0,-114.6199394153148,485.0,5.130998e6,Inf
101100,"1=1,2=0,3=1,4=1,5=0,6=0",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
011100,"1=0,2=1,3=1,4=1,5=0,6=0",OPTIMAL,2283.0,2366.0,2366.0,0.48879901016985855,970.0,-40.32917942189378,485.0,5.526198e6,Inf
111100,"1=1,2=1,3=1,4=1,5=0,6=0",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
000010,"1=0,2=0,3=0,4=0,5=1,6=0",OPTIMAL,600.0,5732.0,5732.0,0.6130190754139151,2310.0,-231.5923714400733,1155.0,3.0355256e7,48.23529382802768
100010,"1=1,2=0,3=0,4=0,5=1,6=0",OPTIMAL,600.0,5732.0,5732.0,0.6130190754139151,2310.0,-231.5923714400733,1155.0,3.0355256e7,48.23529382802768
010010,"1=0,2=1,3=0,4=0,5=1,6=0",OPTIMAL,1000.0,4932.0,4932.0,0.46809863765314713,2310.0,-119.3989934448585,1155.0,3.2094456e7,Inf
110010,"1=1,2=1,3=0,4=0,5=1,6=0",OPTIMAL,1000.0,4932.0,4932.0,0.46809863765314713,2310.0,-119.3989934448585,1155.0,3.2094456e7,Inf
001010,"1=0,2=0,3=1,4=0,5=1,6=0",OPTIMAL,2053.0,2826.0,2826.0,0.6536767432209778,970.0,-114.6199394153148,485.0,5.130998e6,Inf
101010,"1=1,2=0,3=1,4=0,5=1,6=0",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
111010,"1=1,2=1,3=1,4=0,5=1,6=0",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
000110,"1=0,2=0,3=0,4=1,5=1,6=0",OPTIMAL,2053.0,2826.0,2826.0,0.6536767432209778,970.0,-114.6199394153148,485.0,5.130998e6,Inf
100110,"1=1,2=0,3=0,4=1,5=1,6=0",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
110110,"1=1,2=1,3=0,4=1,5=1,6=0",OPTIMAL,2696.0,1540.0,1540.0,0.7778236941705859,340.0,-106.04294854349945,170.0,547008.0,Inf
000001,"1=0,2=0,3=0,4=0,5=0,6=1",OPTIMAL,200.0,6532.0,6532.0,0.7612214218759645,2310.0,-308.0021691843377,1155.0,2.8670856e7,10.649350648051946
