fair_func,config_bits,obj,total_pshed,direction
efficient,010111,770.0,770.0,min
efficient,011011,770.0,770.0,min
efficient,011101,770.0,770.0,min
efficient,100110,770.0,770.0,min
efficient,100111,770.0,770.0,min
efficient,101010,770.0,770.0,min
efficient,101011,770.0,770.0,min
efficient,101100,770.0,770.0,min
efficient,101101,770.0,770.0,min
efficient,110011,770.0,770.0,min
efficient,110110,770.0,770.0,min
efficient,111001,770.0,770.0,min
efficient,111010,770.0,770.0,min
efficient,111100,770.0,770.0,min
jain,000100,0.4480763004661428,1813.0,max
jain,000101,0.4480763004661428,1813.0,max
min_max,010111,170.0,770.0,min
min_max,011011,170.0,770.0,min
min_max,011101,170.0,770.0,min
min_max,100110,170.0,770.0,min
min_max,100111,170.0,770.0,min
min_max,101010,170.0,770.0,min
min_max,101011,170.0,770.0,min
min_max,101100,170.0,770.0,min
min_max,101101,170.0,770.0,min
min_max,110011,170.0,770.0,min
min_max,110110,170.0,770.0,min
min_max,111001,170.0,770.0,min
min_max,111010,170.0,770.0,min
min_max,111100,170.0,770.0,min
proportional,010011,58.3581176771271,1453.0,max
infinity_norm,010111,170.0,770.0,min
infinity_norm,011011,170.0,770.0,min
infinity_norm,011101,170.0,770.0,min
infinity_norm,100110,170.0,770.0,min
infinity_norm,100111,170.0,770.0,min
infinity_norm,101010,170.0,770.0,min
infinity_norm,101011,170.0,770.0,min
infinity_norm,101100,170.0,770.0,min
infinity_norm,101101,170.0,770.0,min
infinity_norm,110011,170.0,770.0,min
infinity_norm,110110,170.0,770.0,min
infinity_norm,111001,170.0,770.0,min
infinity_norm,111010,170.0,770.0,min
infinity_norm,111100,170.0,770.0,min
equality_min,010111,940.0,770.0,min
equality_min,011011,940.0,770.0,min
equality_min,011101,940.0,770.0,min
equality_min,100110,940.0,770.0,min
equality_min,100111,940.0,770.0,min
equality_min,101010,940.0,770.0,min
equality_min,101011,940.0,770.0,min
equality_min,101100,940.0,770.0,min
equality_min,101101,940.0,770.0,min
equality_min,110011,940.0,770.0,min
equality_min,110110,940.0,770.0,min
equality_min,111001,940.0,770.0,min
equality_min,111010,940.0,770.0,min
equality_min,111100,940.0,770.0,min
palma,000000,5.324675324675325,3266.0,min
palma,000001,5.324675324675325,3266.0,min
palma,001000,5.324675324675325,3266.0,min
palma,001001,5.324675324675325,3266.0,min
palma,100000,5.324675324675325,3266.0,min
palma,100001,5.324675324675325,3266.0,min
palma,101000,5.324675324675325,3266.0,min
palma,101001,5.324675324675325,3266.0,min
