config_bits,fair_func,period,load_id,pshed
000000,efficient,1,1,160.0000000025386
000000,efficient,1,2,68.0000006799998
000000,efficient,1,3,1154.999988931334
000000,efficient,1,4,484.99999881725194
000000,efficient,1,5,128.00000909073992
000000,efficient,1,6,229.99999642319187
000000,efficient,1,7,170.0000032953067
000000,efficient,1,8,97.85445746791235
000000,efficient,1,9,120.00000000255537
000000,efficient,1,10,55.200560462289495
000000,efficient,1,11,120.00000000255537
000000,efficient,1,12,289.99999907606485
000000,efficient,1,13,170.00000169999888
000000,efficient,1,14,14.218286738652143
000000,efficient,1,15,170.00000169999686
000000,efficient,2,1,160.0
000000,efficient,2,2,68.0
000000,efficient,2,3,1155.0
000000,efficient,2,4,485.0
000000,efficient,2,5,128.0
000000,efficient,2,6,230.0
000000,efficient,2,7,170.0
000000,efficient,2,8,0.0
000000,efficient,2,9,120.0
000000,efficient,2,10,0.0
000000,efficient,2,11,120.0
000000,efficient,2,12,290.0
000000,efficient,2,13,170.0
000000,efficient,2,14,0.0
000000,efficient,2,15,170.0
100000,efficient,1,1,160.00000000250554
100000,efficient,1,2,68.00080408589501
100000,efficient,1,3,1154.9974573373204
100000,efficient,1,4,484.9997372883017
100000,efficient,1,5,128.00105989763182
100000,efficient,1,6,229.99999654697464
100000,efficient,1,7,170.00000321312567
100000,efficient,1,8,97.8544591382424
100000,efficient,1,9,120.0000000025155
100000,efficient,1,10,55.20056140469851
100000,efficient,1,11,120.0000000025155
100000,efficient,1,12,290.00532753906305
100000,efficient,1,13,170.00000171203223
100000,efficient,1,14,14.218286981497606
100000,efficient,1,15,169.9948440964709
100000,efficient,2,1,160.0
100000,efficient,2,2,68.0
100000,efficient,2,3,1155.0
100000,efficient,2,4,485.0
100000,efficient,2,5,128.0
100000,efficient,2,6,230.0
100000,efficient,2,7,170.0
100000,efficient,2,8,0.0
100000,efficient,2,9,120.0
100000,efficient,2,10,0.0
100000,efficient,2,11,120.0
100000,efficient,2,12,290.0
100000,efficient,2,13,170.0
100000,efficient,2,14,0.0
100000,efficient,2,15,170.0
010000,efficient,1,1,142.35118745629546
010000,efficient,1,2,68.00000000249187
010000,efficient,1,3,1154.999984030229
010000,efficient,1,4,484.99999881725677
010000,efficient,1,5,128.0000099963569
010000,efficient,1,6,229.99999645850858
010000,efficient,1,7,170.00000326279923
010000,efficient,1,8,97.85421025848235
010000,efficient,1,9,106.76423846740558
010000,efficient,1,10,55.20042103238004
010000,efficient,1,11,106.76423829367815
010000,efficient,1,12,289.9999990757568
010000,efficient,1,13,170.000001699998
010000,efficient,1,14,14.218250825600142
010000,efficient,1,15,170.00000575589561
010000,efficient,2,1,0.0
010000,efficient,2,2,68.0
010000,efficient,2,3,1155.0
010000,efficient,2,4,485.0
010000,efficient,2,5,128.0
010000,efficient,2,6,230.0
010000,efficient,2,7,170.0
010000,efficient,2,8,0.0
010000,efficient,2,9,0.0
010000,efficient,2,10,0.0
010000,efficient,2,11,0.0
010000,efficient,2,12,290.0
010000,efficient,2,13,170.0
010000,efficient,2,14,0.0
010000,efficient,2,15,170.0
110000,efficient,1,1,142.35118745404083
110000,efficient,1,2,68.00006054770843
110000,efficient,1,3,1154.9998357396641
110000,efficient,1,4,484.9993471982401
110000,efficient,1,5,128.00000467858695
110000,efficient,1,6,229.99999639260037
110000,efficient,1,7,170.00000332211087
110000,efficient,1,8,97.85421025078195
110000,efficient,1,9,106.76423846571541
110000,efficient,1,10,55.200421028036295
110000,efficient,1,11,106.76423829198748
110000,efficient,1,12,289.99951411032464
110000,efficient,1,13,170.00119905279638
110000,efficient,1,14,14.218250824481395
110000,efficient,1,15,169.99986782600809
110000,efficient,2,1,0.0
110000,efficient,2,2,68.0
110000,efficient,2,3,1155.0
110000,efficient,2,4,485.0
110000,efficient,2,5,128.0
110000,efficient,2,6,230.0
110000,efficient,2,7,170.0
110000,efficient,2,8,0.0
110000,efficient,2,9,0.0
110000,efficient,2,10,0.0
110000,efficient,2,11,0.0
110000,efficient,2,12,290.0
110000,efficient,2,13,170.0
110000,efficient,2,14,0.0
110000,efficient,2,15,170.0
001000,efficient,1,1,160.00000000252695
001000,efficient,1,2,67.99999998790727
001000,efficient,1,3,1155.0000004670505
001000,efficient,1,4,484.99992694496376
001000,efficient,1,5,127.99999984408515
001000,efficient,1,6,229.99999977814463
001000,efficient,1,7,169.99999996465075
001000,efficient,1,8,97.85445776864707
001000,efficient,1,9,120.00000000253729
001000,efficient,1,10,55.20056063193778
001000,efficient,1,11,120.00000000253729
001000,efficient,1,12,289.99993260513514
001000,efficient,1,13,170.00012468274159
001000,efficient,1,14,14.218286782351754
001000,efficient,1,15,169.99999995664305
001000,efficient,2,1,160.0
001000,efficient,2,2,68.0
001000,efficient,2,3,1155.0
001000,efficient,2,4,485.0
001000,efficient,2,5,128.0
001000,efficient,2,6,230.0
001000,efficient,2,7,170.0
001000,efficient,2,8,0.0
001000,efficient,2,9,120.0
001000,efficient,2,10,0.0
001000,efficient,2,11,120.0
001000,efficient,2,12,290.0
001000,efficient,2,13,170.0
001000,efficient,2,14,0.0
001000,efficient,2,15,170.0
101000,efficient,1,1,160.0000000009024
101000,efficient,1,2,68.00000091618716
101000,efficient,1,3,1154.999981711914
101000,efficient,1,4,484.9997862664274
101000,efficient,1,5,128.00000723957027
101000,efficient,1,6,229.99999622372746
101000,efficient,1,7,170.00000616431592
101000,efficient,1,8,97.85445776817164
101000,efficient,1,9,120.00000000090229
101000,efficient,1,10,55.20056063166992
101000,efficient,1,11,120.00000000090229
101000,efficient,1,12,289.9999645115569
101000,efficient,1,13,170.00035937278184
101000,efficient,1,14,14.21828678228297
101000,efficient,1,15,169.99982684773332
101000,efficient,2,1,160.0
101000,efficient,2,2,68.0
101000,efficient,2,3,1155.0
101000,efficient,2,4,485.0
101000,efficient,2,5,128.0
101000,efficient,2,6,230.0
101000,efficient,2,7,170.0
101000,efficient,2,8,0.0
101000,efficient,2,9,120.0
101000,efficient,2,10,0.0
101000,efficient,2,11,120.0
101000,efficient,2,12,290.0
101000,efficient,2,13,170.0
101000,efficient,2,14,0.0
101000,efficient,2,15,170.0
011000,efficient,1,1,142.35118745872117
011000,efficient,1,2,67.99999998790723
011000,efficient,1,3,1155.0000004667604
011000,efficient,1,4,484.9999269446677
011000,efficient,1,5,127.99999984418059
011000,efficient,1,6,229.9999997783167
011000,efficient,1,7,169.99999996466664
011000,efficient,1,8,97.85421026357102
011000,efficient,1,9,106.76423846922505
011000,efficient,1,10,55.200421035250656
011000,efficient,1,11,106.76423829549746
011000,efficient,1,12,289.99993260486355
011000,efficient,1,13,170.00012468324732
011000,efficient,1,14,14.218250826339608
011000,efficient,1,15,169.9999999566595
011000,efficient,2,1,0.0
011000,efficient,2,2,68.0
011000,efficient,2,3,1155.0
011000,efficient,2,4,485.0
011000,efficient,2,5,128.0
011000,efficient,2,6,230.0
011000,efficient,2,7,170.0
011000,efficient,2,8,0.0
011000,efficient,2,9,0.0
011000,efficient,2,10,0.0
011000,efficient,2,11,0.0
011000,efficient,2,12,290.0
011000,efficient,2,13,170.0
011000,efficient,2,14,0.0
011000,efficient,2,15,170.0
111000,efficient,1,1,142.3511874590462
111000,efficient,1,2,68.00000085879289
111000,efficient,1,3,1154.9999817598807
111000,efficient,1,4,484.9997860672734
111000,efficient,1,5,128.00000726996976
111000,efficient,1,6,229.9999973875311
111000,efficient,1,7,170.00000566695266
111000,efficient,1,8,97.85421026425593
111000,efficient,1,9,106.76423846946882
111000,efficient,1,10,55.20042103563702
111000,efficient,1,11,106.76423829574122
111000,efficient,1,12,289.99996395327577
111000,efficient,1,13,170.00035962485373
111000,efficient,1,14,14.218250826439132
