config_bits,fair_func,load_id,weight_new
000000,efficient,1,1.0007382605960524
000000,efficient,2,1.2801177680216806
000000,efficient,3,1.0000828141001168
000000,efficient,4,1.000411999806985
000000,efficient,5,1.496425571279991
000000,efficient,6,1.0003032964222973
000000,efficient,7,1.4946199776593847
000000,efficient,8,1.5000000148036852
000000,efficient,9,1.000780873873111
000000,efficient,10,1.5000000146519286
000000,efficient,11,1.0007808738731567
000000,efficient,12,1.0005472952642853
000000,efficient,13,1.2801160857477076
000000,efficient,14,1.5000000136487217
000000,efficient,15,1.2801169324246802
100000,efficient,1,1.0007334847017257
100000,efficient,2,1.4999860214644056
100000,efficient,3,1.0000040635071041
100000,efficient,4,1.0000354873778907
100000,efficient,5,1.4999898127128297
100000,efficient,6,1.0003097613177685
100000,efficient,7,1.494916032797648
100000,efficient,8,1.5000000148036854
100000,efficient,9,1.000778853360493
100000,efficient,10,1.5000000146519288
100000,efficient,11,1.0007788533602733
100000,efficient,12,1.499997760347207
100000,efficient,13,1.2858421814583072
100000,efficient,14,1.500000013648722
100000,efficient,15,1.000002345867706
010000,efficient,1,1.5000000147870616
010000,efficient,2,1.0005711932198087
010000,efficient,3,1.0000848585499478
010000,efficient,4,1.000412708150995
010000,efficient,5,1.4843731871356134
010000,efficient,6,1.0003032964780363
010000,efficient,7,1.4897443350422335
010000,efficient,8,1.500000014803693
010000,efficient,9,1.5000000147160275
010000,efficient,10,1.500000014651942
010000,efficient,11,1.5000000147160275
010000,efficient,12,1.0005423416228034
010000,efficient,13,1.2796522662753984
010000,efficient,14,1.5000000136487746
010000,efficient,15,0.9999999902043956
110000,efficient,1,1.5000000149227501
110000,efficient,2,1.0000459746942707
110000,efficient,3,1.499896146382972
110000,efficient,4,1.0000041416564733
110000,efficient,5,1.499098388152274
110000,efficient,6,1.0001095008821692
110000,efficient,7,1.4984300952521958
110000,efficient,8,1.5000000149287838
110000,efficient,9,1.5000000148969805
110000,efficient,10,1.5000000148737316
110000,efficient,11,1.5000000148969805
110000,efficient,12,1.0000051662804972
110000,efficient,13,1.499997275693438
110000,efficient,14,1.5000000145098027
110000,efficient,15,1.0000351840679047
001000,efficient,1,1.0007346827253276
001000,efficient,2,1.0005789515787211
001000,efficient,3,1.000098513007173
001000,efficient,4,1.0001019039870407
001000,efficient,5,1.000400666252301
001000,efficient,6,1.0007702356058101
001000,efficient,7,1.0006562628532798
001000,efficient,8,1.5000000148036852
001000,efficient,9,1.0007751662636555
001000,efficient,10,1.5000000146519286
001000,efficient,11,1.0007751662636042
001000,efficient,12,1.0001156897108319
001000,efficient,13,1.4999206784879677
001000,efficient,14,1.5000000136487217
001000,efficient,15,1.0004019123063952
101000,efficient,1,1.0002629976517534
101000,efficient,2,1.0002042811940168
101000,efficient,3,1.4995654126195674
101000,efficient,4,1.0000081721061893
101000,efficient,5,1.4998306963379784
101000,efficient,6,1.487928606819788
101000,efficient,7,1.000060457089193
101000,efficient,8,1.5000000149287809
101000,efficient,9,1.00027628830872
101000,efficient,10,1.5000000148737267
101000,efficient,11,1.0002762883087657
101000,efficient,12,1.0000108022927607
101000,efficient,13,1.4999932284266195
101000,efficient,14,1.5000000145097836
101000,efficient,15,1.000086975013955
011000,efficient,1,1.5000000147870616
011000,efficient,2,1.0005789510477325
011000,efficient,3,1.0000985096475499
011000,efficient,4,1.000101903675332
011000,efficient,5,1.000400682885645
011000,efficient,6,1.000770328184991
011000,efficient,7,1.0006562440834126
011000,efficient,8,1.500000014803693
011000,efficient,9,1.5000000147160275
011000,efficient,10,1.500000014651942
011000,efficient,11,1.5000000147160275
011000,efficient,12,1.000115689340344
011000,efficient,13,1.4999206787946389
011000,efficient,14,1.5000000136487746
011000,efficient,15,1.0004019176921837
111000,efficient,1,1.5000000147870616
111000,efficient,2,1.0005733439497735
111000,efficient,3,1.4988058124766763
111000,efficient,4,1.0000225449462736
111000,efficient,5,1.4995259101855976
111000,efficient,6,1.364516615679754
111000,efficient,7,1.0001667641657621
111000,efficient,8,1.500000014803693
111000,efficient,9,1.5000000147160275
111000,efficient,10,1.500000014651942
111000,efficient,11,1.5000000147160275
