config_bits,total_pshed,obj_min_max,obj_jain,delta_shed_to_mm_best,delta_shed_to_jain_best
010111,770.0,170.0,0.38891184708529297,0.0,-1043.0
100100,1098.0,230.0,0.4428687928412422,328.0,-715.0
100101,1098.0,230.0,0.4428687928412422,328.0,-715.0
011100,1183.0,485.0,0.24439950508492927,413.0,-630.0
000110,1413.0,485.0,0.3268383716104889,643.0,-400.0
010100,1413.0,485.0,0.3062346859189829,643.0,-400.0
010011,1453.0,1155.0,0.10204186782415446,683.0,-360.0
000100,1813.0,485.0,0.4480763004661428,1043.0,0.0
010010,2466.0,1155.0,0.23404931882657357,1696.0,653.0
000010,2866.0,1155.0,0.30650953770695755,2096.0,1053.0
010000,2866.0,1155.0,0.30187968335907817,2096.0,1053.0
000000,3266.0,1155.0,0.38061071093798227,2496.0,1453.0
