config_bits,total_pshed,obj_efficient,obj_jain,obj_min_max,obj_proportional,obj_equality_min,obj_palma
0010011,1213.0,1213.0,0.18726902703074208,485.0,68.19197724855039,1698.0,Inf
0010111,1213.0,1213.0,0.18726902703074208,485.0,68.19197724855039,1698.0,Inf
0011011,1213.0,1213.0,0.18726902703074208,485.0,68.19197724855039,1698.0,Inf
0011111,1183.0,1183.0,0.18329962881369696,485.0,68.3536186001068,1668.0,Inf
0110011,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
0110111,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
0111011,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
0111111,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1011111,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1101111,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1110011,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1110111,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1111011,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1111100,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1111101,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
1111110,565.0,565.0,0.17789077737531345,200.0,73.0432398529609,765.0,Inf
