group_id,representative,member,total_pshed,n_in_group
1,000000,000000,3266.0,8
1,000000,000001,3266.0,8
1,000000,001000,3266.0,8
1,000000,001001,3266.0,8
1,000000,100000,3266.0,8
1,000000,100001,3266.0,8
1,000000,101000,3266.0,8
1,000000,101001,3266.0,8
2,000010,000010,2866.0,4
2,000010,000011,2866.0,4
2,000010,100010,2866.0,4
2,000010,100011,2866.0,4
3,000100,000100,1813.0,2
3,000100,000101,1813.0,2
4,000110,000110,1413.0,6
4,000110,000111,1413.0,6
4,000110,001010,1413.0,6
4,000110,001011,1413.0,6
4,000110,001100,1413.0,6
4,000110,001101,1413.0,6
5,010000,010000,2866.0,4
5,010000,011000,2866.0,4
5,010000,110000,2866.0,4
5,010000,111000,2866.0,4
6,010010,010010,2466.0,2
6,010010,110010,2466.0,2
7,010011,010011,1453.0,1
8,010100,010100,1413.0,1
9,010111,010111,770.0,14
9,010111,011011,770.0,14
9,010111,011101,770.0,14
9,010111,100110,770.0,14
9,010111,100111,770.0,14
9,010111,101010,770.0,14
9,010111,101011,770.0,14
9,010111,101100,770.0,14
9,010111,101101,770.0,14
9,010111,110011,770.0,14
9,010111,110110,770.0,14
9,010111,111001,770.0,14
9,010111,111010,770.0,14
9,010111,111100,770.0,14
10,011100,011100,1183.0,1
11,100100,100100,1098.0,2
11,100100,110100,1098.0,2
12,100101,100101,1098.0,2
12,100101,110001,1098.0,2
