group_id,representative,member,total_pshed,n_in_group
1,000000,000000,3266.0,8
1,000000,000001,3266.0,8
1,000000,001000,3266.0,8
1,000000,001001,3266.0,8
1,000000,100000,3266.0,8
1,000000,100001,3266.0,8
1,000000,101000,3266.0,8
1,000000,101001,3266.0,8
2,000010,000010,2866.0,4
2,000010,000011,2866.0,4
2,000010,100010,2866.0,4
2,000010,100011,2866.0,4
3,000100,000100,1813.0,1
4,000110,000110,1413.0,5
4,000110,000111,1413.0,5
4,000110,001010,1413.0,5
4,000110,001011,1413.0,5
4,000110,001100,1413.0,5
5,010000,010000,2866.0,4
5,010000,011000,2866.0,4
5,010000,110000,2866.0,4
5,010000,111000,2866.0,4
6,010001,010001,1853.0,2
6,010001,011001,1853.0,2
7,010010,010010,2466.0,2
7,010010,110010,2466.0,2
8,010011,010011,1453.0,1
9,010100,010100,1413.0,1
10,010101,010101,698.0,2
10,010101,100101,698.0,2
11,010110,010110,1183.0,2
11,010110,011100,1183.0,2
12,011101,011101,600.0,5
12,011101,100110,600.0,5
12,011101,101010,600.0,5
12,011101,101011,600.0,5
12,011101,110011,600.0,5
