config_bits,load_id,pshed
000000,1,160.0
000000,2,68.0
000000,3,1155.0
000000,4,485.0
000000,5,128.0
000000,6,230.0
000000,7,170.0
000000,8,0.0
000000,9,120.0
000000,10,0.0
000000,11,120.0
000000,12,290.0
000000,13,170.0
000000,14,0.0
000000,15,170.0
000001,1,160.0
000001,2,68.0
000001,3,1155.0
000001,4,485.0
000001,5,128.0
000001,6,230.0
000001,7,170.0
000001,8,0.0
000001,9,120.0
000001,10,0.0
000001,11,120.0
000001,12,290.0
000001,13,170.0
000001,14,0.0
000001,15,170.0
000010,1,160.0
000010,2,68.0
000010,3,1155.0
000010,4,485.0
000010,5,128.0
000010,6,0.0
000010,7,0.0
000010,8,0.0
000010,9,120.0
000010,10,0.0
000010,11,120.0
000010,12,290.0
000010,13,170.0
000010,14,0.0
000010,15,170.0
000011,1,160.0
000011,2,68.0
000011,3,1155.0
000011,4,485.0
000011,5,128.0
000011,6,0.0
000011,7,0.0
000011,8,0.0
000011,9,120.0
000011,10,0.0
000011,11,120.0
000011,12,290.0
000011,13,170.0
000011,14,0.0
000011,15,170.0
000100,1,160.0
000100,2,68.0
000100,3,0.0
000100,4,485.0
000100,5,0.0
000100,6,230.0
000100,7,170.0
000100,8,0.0
000100,9,120.0
000100,10,0.0
000100,11,120.0
000100,12,290.0
000100,13,170.0
000100,14,0.0
000100,15,0.0
000110,1,160.0
000110,2,68.0
000110,3,0.0
000110,4,485.0
000110,5,0.0
000110,6,0.0
000110,7,0.0
000110,8,0.0
000110,9,120.0
000110,10,0.0
000110,11,120.0
000110,12,290.0
000110,13,170.0
000110,14,0.0
000110,15,0.0
000111,1,160.0
000111,2,68.0
000111,3,0.0
000111,4,485.0
000111,5,0.0
000111,6,0.0
000111,7,0.0
000111,8,0.0
000111,9,120.0
000111,10,0.0
000111,11,120.0
000111,12,290.0
000111,13,170.0
000111,14,0.0
000111,15,0.0
001000,1,160.0
001000,2,68.0
001000,3,1155.0
001000,4,485.0
001000,5,128.0
001000,6,230.0
001000,7,170.0
001000,8,0.0
001000,9,120.0
001000,10,0.0
001000,11,120.0
001000,12,290.0
001000,13,170.0
001000,14,0.0
001000,15,170.0
001001,1,160.0
001001,2,68.0
001001,3,1155.0
001001,4,485.0
001001,5,128.0
001001,6,230.0
