config_bits,total_pshed,obj_efficient,obj_palma
000000,3266.0,3266.0,5.324675324675325
000001,3266.0,3266.0,5.324675324675325
000010,2866.0,2866.0,24.11764705882353
000011,2866.0,2866.0,24.11764705882353
000100,1813.0,1813.0,Inf
000110,1413.0,1413.0,Inf
000111,1413.0,1413.0,Inf
001000,3266.0,3266.0,5.324675324675325
001001,3266.0,3266.0,5.324675324675325
001010,1413.0,1413.0,Inf
001011,1413.0,1413.0,Inf
001100,1413.0,1413.0,Inf
010000,2866.0,2866.0,Inf
010001,1853.0,1853.0,Inf
010010,2466.0,2466.0,Inf
010011,1453.0,1453.0,Inf
010100,1413.0,1413.0,Inf
010101,698.0,698.0,Inf
010110,1183.0,1183.0,Inf
011000,2866.0,2866.0,Inf
011001,1853.0,1853.0,Inf
011100,1183.0,1183.0,Inf
011101,600.0,600.0,Inf
100000,3266.0,3266.0,5.324675324675325
100001,3266.0,3266.0,5.324675324675325
100010,2866.0,2866.0,24.11764705882353
100011,2866.0,2866.0,24.11764705882353
100101,698.0,698.0,Inf
100110,600.0,600.0,Inf
101000,3266.0,3266.0,5.324675324675325
101001,3266.0,3266.0,5.324675324675325
101010,600.0,600.0,Inf
101011,600.0,600.0,Inf
110000,2866.0,2866.0,Inf
110010,2466.0,2466.0,Inf
110011,600.0,600.0,Inf
111000,2866.0,2866.0,Inf
