iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,LOCALLY_SOLVED,84.37840281728468,84.45795383368089,0.0,0.0,1.0000002375112529,9.999826900468939,21.599197056163355,81,1,9,warmstart
2,LOCALLY_SOLVED,84.46216662098064,84.45224517557456,0.0,0.0,1.0000002791921518,9.999886154819725,17.31468976769066,81,1,9,warmstart
1,LOCALLY_SOLVED,84.45223756202249,84.45188671496129,0.0,0.0,1.0000005070629137,9.99989756402238,17.22428782751945,81,1,9,main
2,LOCALLY_SOLVED,84.45219386573031,84.45204325576702,0.0,0.0,1.0000003780421134,9.999892564334653,17.050838608131656,81,1,9,main
3,LOCALLY_SOLVED,84.4521872508663,84.45198569962909,0.0,0.0,1.0000003182488009,9.99989832436008,16.88087963256886,81,1,9,main
4,LOCALLY_SOLVED,84.49145777570935,84.46282793676315,0.0,0.0,1.0000005999534194,9.99983424681882,21.274632465399236,81,1,9,main
5,LOCALLY_SOLVED,84.46930580375819,84.45236294841311,0.0,0.0,1.000000425013092,9.999910466221719,17.016081485894762,81,1,9,main
6,LOCALLY_SOLVED,84.45238717537991,84.45211865098621,0.0,0.0,1.0000001124192577,9.999962520060631,16.842560505435603,81,1,9,main
7,LOCALLY_SOLVED,84.452182515986,84.45218773454283,0.0,0.0,1.000000372555012,9.999893297534006,17.011672294109037,81,1,9,main
8,LOCALLY_SOLVED,84.45218333724168,84.45210021069953,0.0,0.0,1.000000327439908,9.99989651482857,16.8425102248857,81,1,9,main
9,LOCALLY_SOLVED,84.45218426016444,84.45172371454619,0.0,0.0,1.0000005551087034,9.999895885731783,17.011865624644336,81,1,9,main
10,LOCALLY_SOLVED,84.45220211460713,84.45112596552926,0.0,0.0,1.0000002399658507,9.999907203665751,16.843161200610748,81,1,9,main
11,LOCALLY_SOLVED,84.4522802091734,84.45184055280842,0.0,0.0,1.0000005258042288,9.999902399520508,16.54103980828608,81,1,9,main
12,LOCALLY_SOLVED,84.45217947008719,84.4514259910545,0.0,0.0,1.0000000830245368,9.999963458996971,16.843136327678575,81,1,9,main
13,LOCALLY_SOLVED,84.45225615694163,84.45185548890096,0.0,0.0,1.0000007259918375,9.999902396204464,16.54104665499852,81,1,9,main
14,LOCALLY_SOLVED,84.4521788976288,84.45128418033275,0.0,0.0,1.0000001852187117,9.999907259069849,16.8421491701597,81,1,9,main
15,LOCALLY_SOLVED,84.49631555132493,84.46249332097632,0.0,0.0,1.0000004126528352,9.999818382416901,21.240824002064475,81,1,9,main
16,LOCALLY_SOLVED,84.4703346925202,84.45250417712127,0.0,0.0,1.0000002828063066,9.999910392950488,17.016230263644694,81,1,9,main
17,LOCALLY_SOLVED,84.45238591869939,84.45221160584725,0.0,0.0,1.0000003523995835,9.999896804456872,16.842483455571866,81,1,9,main
18,LOCALLY_SOLVED,84.4521840954461,84.45209759427412,0.0,0.0,1.0000003231898855,9.999909754228815,16.676623609467022,81,1,9,main
19,LOCALLY_SOLVED,84.45218444652333,84.45196952226924,0.0,0.0,1.000000416969929,9.999913618101637,16.84250660036286,81,1,9,main
20,LOCALLY_SOLVED,84.45219201891304,84.45212393336087,0.0,0.0,1.0000004330562875,9.999909646095801,16.676745676490963,81,1,9,main
