alpha,period,lambda,load_scale,total_shed,max_shed
0.0,1,5.0,0.7,0.0,0.0
0.0,2,5.0,0.713,0.0,0.0
0.0,3,5.0,0.726,0.0,0.0
0.0,4,5.0,0.739,0.0,0.0
0.0,5,5.0,0.752,0.0,0.0
0.0,6,5.0,0.765,0.0,0.0
0.0,7,5.0,0.778,0.0,0.0
0.0,8,5.0,0.791,0.0,0.0
0.0,9,5.01,0.804,9.648,9.648
0.0,10,5.04,0.817,9.803999999999998,9.803999999999998
0.0,11,5.15,0.83,9.959999999999999,9.959999999999999
0.0,12,5.5,0.843,10.116,10.116
0.0,13,6.4,0.857,10.283999999999999,10.283999999999999
0.0,14,8.38,0.87,10.44,10.44
0.0,15,11.95,0.883,10.596,10.596
0.0,16,17.17,0.896,10.752,10.752
0.0,17,23.15,0.909,10.908000000000001,10.908000000000001
0.0,18,28.08,0.922,11.064,11.064
0.0,19,30.0,0.935,11.22,11.22
0.0,20,28.08,0.948,13.271999999999998,11.376
0.0,21,23.15,0.961,13.454,11.532
0.0,22,17.17,0.974,26.298,14.61
0.0,23,11.95,0.987,26.649,14.805
0.0,24,8.38,1.0,27.0,15.0
0.2,1,5.0,0.7,0.0,0.0
0.2,2,5.0,0.713,0.0,0.0
0.2,3,5.0,0.726,0.0,0.0
0.2,4,5.0,0.739,0.0,0.0
0.2,5,5.0,0.752,0.0,0.0
0.2,6,5.0,0.765,0.0,0.0
0.2,7,5.0,0.778,0.0,0.0
0.2,8,5.0,0.791,0.0,0.0
0.2,9,5.01,0.804,9.648,9.648
0.2,10,5.04,0.817,9.803999999999998,9.803999999999998
0.2,11,5.15,0.83,9.959999999999999,9.959999999999999
0.2,12,5.5,0.843,10.116,10.116
0.2,13,6.4,0.857,10.283999999999999,10.283999999999999
0.2,14,8.38,0.87,10.44,10.44
0.2,15,11.95,0.883,10.596,10.596
0.2,16,17.17,0.896,10.752,10.752
0.2,17,23.15,0.909,10.908000000000001,10.908000000000001
0.2,18,28.08,0.922,11.064,11.064
0.2,19,30.0,0.935,11.219999970443897,11.220000118224416
0.2,20,28.08,0.948,13.271999999999998,11.376
0.2,21,23.15,0.961,13.454,11.532
0.2,22,17.17,0.974,26.298,14.61
0.2,23,11.95,0.987,26.648999934319484,14.804999802958758
0.2,24,8.38,1.0,27.0,15.0
0.4,1,5.0,0.7,0.0,0.0
0.4,2,5.0,0.713,0.0,0.0
0.4,3,5.0,0.726,0.0,0.0
0.4,4,5.0,0.739,0.0,0.0
0.4,5,5.0,0.752,0.0,0.0
0.4,6,5.0,0.765,0.0,0.0
0.4,7,5.0,0.778,0.0,0.0
0.4,8,5.0,0.791,0.0,0.0
0.4,9,5.01,0.804,9.648,9.648
0.4,10,5.04,0.817,9.803999999999998,9.803999999999998
0.4,11,5.15,0.83,9.959999999999999,9.959999999999999
0.4,12,5.5,0.843,10.116,10.116
0.4,13,6.4,0.857,10.283999999999999,10.283999999999999
0.4,14,8.38,0.87,10.44,10.44
0.4,15,11.95,0.883,10.596,10.596
0.4,16,17.17,0.896,10.752,10.752
0.4,17,23.15,0.909,10.907999970443898,10.908000118224416
0.4,18,28.08,0.922,11.064,11.064
0.4,19,30.0,0.935,11.219999970443897,11.220000118224416
0.4,20,28.08,0.948,13.271999970443897,11.376000118224415
0.4,21,23.15,0.961,13.453999970443899,11.532000118224415
0.4,22,17.17,0.974,26.298,14.61
0.4,23,11.95,0.987,26.649,14.805
0.4,24,8.38,1.0,27.0,15.0
0.6,1,5.0,0.7,0.0,0.0
0.6,2,5.0,0.713,0.0,0.0
0.6,3,5.0,0.726,0.0,0.0
0.6,4,5.0,0.739,0.0,0.0
0.6,5,5.0,0.752,0.0,0.0
0.6,6,5.0,0.765,0.0,0.0
0.6,7,5.0,0.778,0.0,0.0
0.6,8,5.0,0.791,0.0,0.0
0.6,9,5.01,0.804,9.648,9.648
0.6,10,5.04,0.817,9.803999999999998,9.803999999999998
0.6,11,5.15,0.83,9.959999999999999,9.959999999999999
0.6,12,5.5,0.843,10.116,10.116
0.6,13,6.4,0.857,10.283999999999999,10.283999999999999
0.6,14,8.38,0.87,10.44,10.44
0.6,15,11.95,0.883,10.596,10.596
0.6,16,17.17,0.896,10.752,10.752
0.6,17,23.15,0.909,10.907999970443898,10.908000118224416
0.6,18,28.08,0.922,11.064,11.064
0.6,19,30.0,0.935,11.219999970443897,11.220000118224416
0.6,20,28.08,0.948,13.271999970443897,11.376000118224415
0.6,21,23.15,0.961,13.453999970443899,11.532000118224415
0.6,22,17.17,0.974,26.298,14.61
0.6,23,11.95,0.987,26.649,14.805
0.6,24,8.38,1.0,27.0,15.0
0.8,1,5.0,0.7,0.0,0.0
0.8,2,5.0,0.713,0.0,0.0
0.8,3,5.0,0.726,0.0,0.0
0.8,4,5.0,0.739,0.0,0.0
0.8,5,5.0,0.752,0.0,0.0
0.8,6,5.0,0.765,0.0,0.0
0.8,7,5.0,0.778,0.0,0.0
0.8,8,5.0,0.791,0.0,0.0
0.8,9,5.01,0.804,12.060000000000002,12.060000000000002
0.8,10,5.04,0.817,12.254999999999999,12.254999999999999
0.8,11,5.15,0.83,12.45,12.45
0.8,12,5.5,0.843,12.645,12.645
0.8,13,6.4,0.857,10.283999999999999,10.283999999999999
0.8,14,8.38,0.87,10.44,10.44
0.8,15,11.95,0.883,10.596,10.596
0.8,16,17.17,0.896,10.752,10.752
0.8,17,23.15,0.909,10.908000000000001,10.908000000000001
0.8,18,28.08,0.922,11.064,11.064
0.8,19,30.0,0.935,11.22,11.22
0.8,20,28.08,0.948,13.271999999999998,11.376
0.8,21,23.15,0.961,13.454,11.532
0.8,22,17.17,0.974,26.298,14.61
0.8,23,11.95,0.987,26.649,14.805
0.8,24,8.38,1.0,27.0,15.0
1.0,1,5.0,0.7,49.0,10.5
1.0,2,5.0,0.713,49.91,10.695
1.0,3,5.0,0.726,50.82,10.89
1.0,4,5.0,0.739,51.730000000000004,11.084999999999999
1.0,5,5.0,0.752,52.64,11.28
1.0,6,5.0,0.765,53.55,11.475000000000001
1.0,7,5.0,0.778,54.46000000000001,11.67
1.0,8,5.0,0.791,55.370000000000005,11.865
1.0,9,5.01,0.804,56.28000000000001,12.060000000000002
1.0,10,5.04,0.817,57.190000000000005,12.254999999999999
1.0,11,5.15,0.83,58.099999999999994,12.45
1.0,12,5.5,0.843,59.00999999999999,12.645
1.0,13,6.4,0.857,59.99,12.855
1.0,14,8.38,0.87,60.900000000000006,13.05
1.0,15,11.95,0.883,61.81,13.245000000000001
1.0,16,17.17,0.896,62.720000000000006,13.440000000000001
1.0,17,23.15,0.909,63.629999999999995,13.635
1.0,18,28.08,0.922,64.53999999999999,13.830000000000002
1.0,19,30.0,0.935,65.45000000000002,14.025000000000002
1.0,20,28.08,0.948,66.36,14.22
