stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
integer,0.0,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.0,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.0,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.0,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.0,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.0,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.1111111111111111,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.1111111111111111,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.1111111111111111,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.1111111111111111,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.2222222222222222,loadbusa,19.0,19.000001354358936,-1.354358937888378e-6,100.00000712820493,-7.128204936254621e-6
integer,0.2222222222222222,loadbusb,2.0,2.00000003801711,-3.801710990458673e-8,100.0000019008555,-1.9008554952293366e-6
integer,0.2222222222222222,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.2222222222222222,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.2222222222222222,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.2222222222222222,__network_total__,70.0,43.00000139237605,26.99999860762395,61.42857341768008,38.57142658231993
integer,0.3333333333333333,loadbusa,19.0,19.000001354358936,-1.354358937888378e-6,100.00000712820493,-7.128204936254621e-6
integer,0.3333333333333333,loadbusb,2.0,2.00000003801711,-3.801710990458673e-8,100.0000019008555,-1.9008554952293366e-6
integer,0.3333333333333333,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.3333333333333333,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.3333333333333333,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.3333333333333333,__network_total__,70.0,43.00000139237605,26.99999860762395,61.42857341768008,38.57142658231993
integer,0.4444444444444444,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.4444444444444444,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.4444444444444444,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.4444444444444444,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.5555555555555556,loadbusa,19.0,19.000001354358936,-1.354358937888378e-6,100.00000712820493,-7.128204936254621e-6
integer,0.5555555555555556,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.5555555555555556,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.5555555555555556,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.5555555555555556,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.5555555555555556,__network_total__,70.0,43.000001354358936,26.999998645641064,61.428573363369914,38.571426636630086
integer,0.6666666666666666,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.6666666666666666,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.6666666666666666,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,0.6666666666666666,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.6666666666666666,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.6666666666666666,__network_total__,70.0,43.0,27.0,61.42857142857143,38.57142857142857
integer,0.7777777777777778,loadbusa,19.0,0.0,19.0,0.0,100.0
integer,0.7777777777777778,loadbusb,2.0,2.8371081761680017e-6,1.9999971628918238,0.00014185540880840009,99.99985814459119
integer,0.7777777777777778,loadbusc,15.0,1.1348432705560185e-5,14.999988651567294,7.56562180370679e-5,99.99992434378196
integer,0.7777777777777778,loadbusd,12.0,4.964939309459737e-6,11.99999503506069,4.137449424549781e-5,99.99995862550576
integer,0.7777777777777778,loadbuse,22.0,0.0,22.0,0.0,100.0
integer,0.7777777777777778,__network_total__,70.0,1.9150480198959485e-5,69.9999808495198,2.7357828855656408e-5,99.99997264217114
integer,0.8888888888888888,loadbusa,19.0,0.0,19.0,0.0,100.0
integer,0.8888888888888888,loadbusb,2.0,0.0,2.0,0.0,100.0
integer,0.8888888888888888,loadbusc,15.0,1.4810404037390867e-5,14.999985189595963,9.873602691593912e-5,99.99990126397309
integer,0.8888888888888888,loadbusd,12.0,1.4810404037390867e-5,11.999985189595963,0.0001234200336449239,99.99987657996637
integer,0.8888888888888888,loadbuse,22.0,0.0,22.0,0.0,100.0
integer,0.8888888888888888,__network_total__,70.0,2.962080807833445e-5,69.99997037919192,4.2315440111906355e-5,99.99995768455989
integer,1.0,loadbusa,19.0,0.0,19.0,0.0,100.0
integer,1.0,loadbusb,2.0,0.0,2.0,0.0,100.0
integer,1.0,loadbusc,15.0,0.0,15.0,0.0,100.0
integer,1.0,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,1.0,loadbuse,22.0,0.0,22.0,0.0,100.0
integer,1.0,__network_total__,70.0,0.0,70.0,0.0,100.0
