stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
integer,0.0,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.0,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.0,loadbusc,15.0,15.0,0.0,100.0,0.0
integer,0.0,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.0,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.0,__network_total__,70.0,58.0,12.0,82.85714285714286,17.142857142857142
integer,0.1111111111111111,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusc,15.0,15.0,0.0,100.0,0.0
integer,0.1111111111111111,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.1111111111111111,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.1111111111111111,__network_total__,70.0,58.0,12.0,82.85714285714286,17.142857142857142
integer,0.2222222222222222,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.2222222222222222,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.2222222222222222,loadbusc,15.0,15.0,0.0,100.0,0.0
integer,0.2222222222222222,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.2222222222222222,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.2222222222222222,__network_total__,70.0,58.0,12.0,82.85714285714286,17.142857142857142
integer,0.3333333333333333,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.3333333333333333,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.3333333333333333,loadbusc,15.0,15.0,0.0,100.0,0.0
integer,0.3333333333333333,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.3333333333333333,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.3333333333333333,__network_total__,70.0,58.0,12.0,82.85714285714286,17.142857142857142
integer,0.4444444444444444,loadbusa,19.0,19.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusb,2.0,2.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusc,15.0,15.0,0.0,100.0,0.0
integer,0.4444444444444444,loadbusd,12.0,0.0,12.0,0.0,100.0
integer,0.4444444444444444,loadbuse,22.0,22.0,0.0,100.0,0.0
integer,0.4444444444444444,__network_total__,70.0,58.0,12.0,82.85714285714286,17.142857142857142
