alpha,period,lambda,total_shed,max_shed
0.0,1,5.0,0.0,0.0
0.0,2,5.0,0.0,0.0
0.0,3,5.0,0.0,0.0
0.0,4,5.0,0.0,0.0
0.0,5,5.0,0.0,0.0
0.0,6,5.0,0.0,0.0
0.0,7,5.0,0.0,0.0
0.0,8,5.0,10.8,10.8
0.0,9,5.01,11.76,11.76
0.0,10,5.04,12.0,12.0
0.0,11,5.15,12.6,12.6
0.0,12,5.5,12.6,12.6
0.0,13,6.4,12.36,12.36
0.0,14,8.38,12.0,12.0
0.0,15,11.95,11.4,11.4
0.0,16,17.17,10.8,10.8
0.0,17,23.15,9.84,9.84
0.0,18,28.08,8.879999999999999,8.879999999999999
0.0,19,30.0,8.16,8.16
0.0,20,28.08,7.4399999999999995,7.4399999999999995
0.0,21,23.15,0.0,0.0
0.0,22,17.17,0.0,0.0
0.0,23,11.95,0.0,0.0
0.0,24,8.38,0.0,0.0
0.2,1,5.0,0.0,0.0
0.2,2,5.0,0.0,0.0
0.2,3,5.0,0.0,0.0
0.2,4,5.0,0.0,0.0
0.2,5,5.0,0.0,0.0
0.2,6,5.0,0.0,0.0
0.2,7,5.0,0.0,0.0
0.2,8,5.0,10.8,10.8
0.2,9,5.01,11.76,11.76
0.2,10,5.04,12.0,12.0
0.2,11,5.15,12.6,12.6
0.2,12,5.5,12.6,12.6
0.2,13,6.4,12.36,12.36
0.2,14,8.38,12.0,12.0
0.2,15,11.95,11.4,11.4
0.2,16,17.17,10.799999986863954,10.800000118224416
0.2,17,23.15,9.84,9.84
0.2,18,28.08,8.879999999999999,8.879999999999999
0.2,19,30.0,8.16,8.16
0.2,20,28.08,7.4399999999999995,7.4399999999999995
0.2,21,23.15,0.0,0.0
0.2,22,17.17,0.0,0.0
0.2,23,11.95,0.0,0.0
0.2,24,8.38,0.0,0.0
0.4,1,5.0,0.0,0.0
0.4,2,5.0,0.0,0.0
0.4,3,5.0,0.0,0.0
0.4,4,5.0,0.0,0.0
0.4,5,5.0,0.0,0.0
0.4,6,5.0,0.0,0.0
0.4,7,5.0,0.0,0.0
0.4,8,5.0,10.8,10.8
0.4,9,5.01,12.0,12.0
0.4,10,5.04,12.0,12.0
0.4,11,5.15,12.6,12.6
0.4,12,5.5,12.6,12.6
0.4,13,6.4,12.36,12.36
0.4,14,8.38,12.3,12.3
0.4,15,11.95,11.4,11.4
0.4,16,17.17,10.8,10.8
0.4,17,23.15,9.84,9.84
0.4,18,28.08,8.879999999999999,8.879999999999999
0.4,19,30.0,8.16,8.16
0.4,20,28.08,7.4399999999999995,7.4399999999999995
0.4,21,23.15,0.0,0.0
0.4,22,17.17,0.0,0.0
0.4,23,11.95,0.0,0.0
0.4,24,8.38,0.0,0.0
0.6,1,5.0,0.0,0.0
0.6,2,5.0,0.0,0.0
0.6,3,5.0,0.0,0.0
0.6,4,5.0,0.0,0.0
0.6,5,5.0,0.0,0.0
0.6,6,5.0,0.0,0.0
0.6,7,5.0,0.0,0.0
0.6,8,5.0,11.7,11.7
0.6,9,5.01,12.0,12.0
0.6,10,5.04,12.0,12.0
0.6,11,5.15,12.6,12.6
0.6,12,5.5,12.6,12.6
0.6,13,6.4,12.36,12.36
0.6,14,8.38,12.3,12.3
0.6,15,11.95,11.4,11.4
0.6,16,17.17,10.8,10.8
0.6,17,23.15,9.84,9.84
0.6,18,28.08,8.879999999999999,8.879999999999999
0.6,19,30.0,8.16,8.16
0.6,20,28.08,7.4399999999999995,7.4399999999999995
0.6,21,23.15,0.0,0.0
0.6,22,17.17,0.0,0.0
0.6,23,11.95,0.0,0.0
0.6,24,8.38,0.0,0.0
0.8,1,5.0,0.0,0.0
0.8,2,5.0,0.0,0.0
0.8,3,5.0,0.0,0.0
0.8,4,5.0,0.0,0.0
0.8,5,5.0,0.0,0.0
0.8,6,5.0,0.0,0.0
0.8,7,5.0,0.0,0.0
0.8,8,5.0,11.7,11.7
0.8,9,5.01,12.0,12.0
0.8,10,5.04,12.0,12.0
0.8,11,5.15,12.6,12.6
0.8,12,5.5,12.6,12.6
0.8,13,6.4,12.36,12.36
0.8,14,8.38,12.3,12.3
0.8,15,11.95,12.3,12.3
0.8,16,17.17,10.8,10.8
0.8,17,23.15,9.84,9.84
0.8,18,28.08,8.879999999999999,8.879999999999999
0.8,19,30.0,8.16,8.16
0.8,20,28.08,7.4399999999999995,7.4399999999999995
0.8,21,23.15,0.0,0.0
0.8,22,17.17,0.0,0.0
0.8,23,11.95,0.0,0.0
0.8,24,8.38,0.0,0.0
1.0,1,5.0,45.9,11.1
1.0,2,5.0,44.4,10.8
1.0,3,5.0,43.46,10.5
1.0,4,5.0,43.62000011822442,10.2
1.0,5,5.0,45.419999999999995,10.2
1.0,6,5.0,49.08,10.5
1.0,7,5.0,53.38,11.1
1.0,8,5.0,56.660000000000004,11.7
1.0,9,5.01,58.82000000000001,12.0
1.0,10,5.04,60.42000000000001,12.24
1.0,11,5.15,61.52,12.6
1.0,12,5.5,61.98,12.6
1.0,13,6.4,61.82,12.36
1.0,14,8.38,61.199999999999996,12.3
1.0,15,11.95,60.020000118224424,12.3
1.0,16,17.17,59.08000011822442,12.0
1.0,17,23.15,58.60000011822442,12.0
1.0,18,28.08,58.20000011822441,12.3
1.0,19,30.0,57.36000011822442,12.6
1.0,20,28.08,55.44,12.9
1.0,21,23.15,52.919999999999995,12.6
1.0,22,17.17,50.70000000000001,12.3
1.0,23,11.95,48.74000011822442,12.0
1.0,24,8.38,47.22,11.4
