alpha,period,lambda,total_shed,max_shed
0.0,1,5.0,0.0,0.0
0.0,2,5.0,0.0,0.0
0.0,3,5.01,10.719999999999999,10.719999999999999
0.0,4,6.4,12.52,12.52
0.0,5,17.17,11.4,11.4
0.0,6,30.0,8.959999999999999,8.959999999999999
0.0,7,17.17,0.0,0.0
0.0,8,8.38,0.0,0.0
0.2,1,5.0,0.0,0.0
0.2,2,5.0,0.0,0.0
0.2,3,5.01,10.719999999999999,10.719999999999999
0.2,4,6.4,12.52,12.52
0.2,5,17.17,11.4,11.4
0.2,6,30.0,8.959999999999999,8.959999999999999
0.2,7,17.17,0.0,0.0
0.2,8,8.38,0.0,0.0
0.4,1,5.0,0.0,0.0
0.4,2,5.0,0.0,0.0
0.4,3,5.01,12.1,12.1
0.4,4,6.4,12.52,12.52
0.4,5,17.17,11.4,11.4
0.4,6,30.0,8.959999955065113,8.9600001076515
0.4,7,17.17,0.0,0.0
0.4,8,8.38,0.0,0.0
0.6,1,5.0,0.0,0.0
0.6,2,5.0,0.0,0.0
0.6,3,5.01,12.1,12.1
0.6,4,6.4,12.52,12.52
0.6,5,17.17,12.1,12.1
0.6,6,30.0,8.959999999999999,8.959999999999999
0.6,7,17.17,0.0,0.0
0.6,8,8.38,0.0,0.0
0.8,1,5.0,0.0,0.0
0.8,2,5.0,0.0,0.0
0.8,3,5.01,12.099999848004275,12.099999925836402
0.8,4,6.4,12.519999975071686,12.52
0.8,5,17.17,12.099999833662192,12.099999922844916
0.8,6,30.0,8.959999999999999,8.959999999999999
0.8,7,17.17,0.0,0.0
0.8,8,8.38,0.0,0.0
1.0,1,5.0,43.54,10.3
1.0,2,5.0,48.56,11.1
1.0,3,5.01,58.040000000000006,12.1
1.0,4,6.4,61.98,12.52
1.0,5,17.17,59.940000000000005,12.1
1.0,6,30.0,57.9,12.7
1.0,7,17.17,50.5,11.9
1.0,8,8.38,47.0,11.1
